"beta.1"	"beta.2"	"beta.3"	"beta.4"	"beta.5"	"beta.6"	"beta.7"	"beta.8"	"beta.9"	"beta.10"	"beta.11"	"beta.12"	"beta.13"	"beta.14"	"beta.15"	"beta.16"	"beta.17"	"beta.18"	"beta.19"	"beta.20"	"beta.21"	"beta.22"	"beta.23"	"beta.24"	"beta.25"	"beta.26"	"beta.27"	"beta.28"	"beta.29"	"beta.30"	"beta.31"	"beta.32"	"beta.33"	"beta.34"	"beta.35"	"beta.36"	"beta.37"	"beta.38"	"beta.39"	"beta.40"	"beta.41"	"beta.42"	"beta.43"	"beta.44"	"beta.45"	"beta.46"	"beta.47"	"beta.48"	"beta.49"	"beta.50"
"1"	-3.26233360705649	13.297992629225	12.724293214294	4.14641434456408	-15.3995004190371	-9.28567034713538	-2.9472044679056	-0.0576717274753696	24.0465338885795	7.6359346114046	-7.99009248989368	-11.4765700923635	-2.89461573688223	-2.99215117897316	-4.11510832795067	2.52223448156132	-8.91921127284569	4.35683299355719	-12.3753842192996	-2.24267885278309	3.77395645981701	1.33336360814841	8.04189509744908	-0.571067743838088	5.03607972233726	10.8576936214569	-6.9095383969683	-12.8459935387219	0.46726172188352	-2.35706556439501	-5.42888255010254	-4.33310317456782	-6.49471646796233	7.26750747385451	11.519117540872	9.92160365445798	-4.29513109491881	12.3830410085338	-2.79346281854269	17.5790308981071	5.60746090888056	-4.52783972553158	-8.32043296117832	-11.6657054708471	-10.655905803883	-15.63782051071	11.5653699715018	8.3204712857239	-2.27328691424755	2.66137361672105
"2"	-0.273789128665055	0.400494565992793	-0.320348423741655	0.377932135267721	0.34741537027473	0.0994900118948297	0.00517416453339178	-0.0143918778363099	0.0202991279119931	0.0812944444562716	0.0281887073655711	0.0594628454027488	0.0955990175222932	0.0447700683519997	-0.0671385216546895	-0.0508779003441704	0.0510653477124785	0.0853969626377183	-0.0750459813646632	-0.0605727381284098	-0.00443026115383285	-0.123035685432284	0.139826096050004	0.0181526017876891	-0.0376115474995609	-0.0206074455563414	0.0281509778570782	-0.0631024036929016	-0.0857591212556637	-0.0587385349329568	-0.0775239413381571	-0.0547296130613275	-0.00793189332257778	0.104922353021608	-0.0788141914770443	0.15051283623592	-0.0086669292125655	0.0330468831914335	0.0404721291377767	0.0659050854790134	0.0276358316009059	0.0578601168529265	0.00542413699433031	0.0124777803092698	0.0430732125881998	0.0447004255694861	0.0930740620608704	-0.0751755633128109	-0.149121966810404	-0.000363060516118235
"3"	-0.305626106820382	0.174370562147683	-0.318982965458717	0.382123518210843	0.308710604873697	0.131827003730372	0.0957424007794733	-0.0777626134023208	-0.0032799982789611	0.114532875199823	0.0459049452660403	0.0537254169797743	0.0281207177283057	-0.0353350181977029	0.0259511141979133	-0.0219382935441279	-0.064009748195983	0.0917717339531227	-0.0487229237487443	-0.0100164861777887	0.0963303728400792	-0.246211492050239	0.131044731620647	-0.0355438830227101	0.0158113366895355	0.0905094693762792	-0.0911919831041841	-0.0879838158332205	0.038728095391664	-0.118954885021698	0.0403359885077425	-0.0334375776072404	0.0100698763951981	0.0658445629147871	-0.0712917405877928	0.106014031272036	-0.0190739202718233	0.0741068464977715	0.0546496933466422	0.0910393591034295	0.137382303429568	0.0332045809258968	0.00277327884924125	0.0321655373847683	0.0348239787502433	-0.00997366408073896	0.114483988234793	-0.109762877521386	0.0700583516875293	-0.112918890942222
"4"	-0.364575413582609	0.301902997806507	-0.224177116265579	0.33940566308968	0.322502537308562	0.0157642658684728	0.163215705607666	-0.191446235829083	-0.0732852341200201	0.155832522199882	-0.0168908115030142	0.0609031628531758	-0.00719157061745353	0.0238159727780459	0.139868012173462	0.0483310019464377	-0.0461600580702085	0.00741655227300596	-0.0791004200129626	-0.118657847092279	0.0254741705261622	-0.208231145684643	0.204655656079409	0.0791353189237912	-0.0566725781559489	0.0541356357735785	-0.0957733169311093	0.089285155016017	-0.0499050938766185	-0.0658017792048815	-0.128350178760967	-0.0325552421401204	0.0961589114652288	0.0313017980684495	-0.127575432195095	0.131676837844776	-0.0393862177176271	0.0779386200466516	0.0770090179658275	-0.051138581471411	0.0483453364971995	0.094405145839801	-0.0404685622744551	0.0343873330604388	0.0589747489618684	0.0241831594838069	0.0320133264763668	-0.079476949450993	0.0571849217983498	-0.117887075442457
"5"	-0.391930586448708	0.323944835322892	-0.20763382205264	0.364125820370201	0.246857934358339	0.142648243820052	0.109314847448782	-0.0466317043154726	0.0709479936493967	0.127278769564992	0.145253234630826	0.0127551428574686	0.0244896041229105	0.0242150219972855	-0.0258063815023581	0.0888626739276934	-0.024145719743751	-0.00344490145445182	0.00880233110389233	-0.138756021561387	0.0431754205058479	-0.233176536600434	0.188961635590582	0.0203008831146465	-0.01675701553045	0.0301741109652258	-0.111982807260304	-0.0815508286260141	-0.0360049439008257	-0.00696821779932773	0.0368475607880546	0.0319164226509707	-0.0612296019421111	0.0413957714480302	-0.119123790935496	0.189273288497764	-0.0809413670619796	0.0139480915761427	0.038736723203185	-0.00519345378287318	0.0197398469403186	-0.000464404377624102	-0.103958193871524	0.121398016042143	0.150135920730391	-0.0230301041403757	0.192714590977524	-0.000698518831688992	-0.00680343595185559	-0.112337272207771
"6"	-0.344309163989598	0.227110734231086	-0.264282324487186	0.393585481848524	0.358327287962673	0.0268537597261227	0.0912317939464008	-0.133647773648307	-0.173578734123386	0.150185167691585	-0.0710553136929461	0.0018131517677903	0.0659641630750062	0.0222175916828697	-0.022191164742715	0.0183078662431311	0.0306542546638342	0.123249362118674	-0.0165197462823716	-0.0217889294079495	0.0380654827752424	-0.150527234950418	0.149175392111714	0.026496505129455	0.023208417195231	0.00443191796085593	-0.000802775080220199	-0.103413911586719	-0.119588919185938	-0.0642349642960311	0.00387520459535729	0.082637123738784	0.0132372019092374	0.141617840499539	-0.0435599829465985	0.1464097536953	-0.0430499979205268	0.0636859618940771	0.003641896519386	0.0523627458307595	0.115304706629317	0.0231940442169329	-0.018915009803931	0.0453122932872978	0.129213626243772	0.0581741931028095	0.0446711027116247	0.0164509775107484	-0.00201407081742233	-0.142192931196792
"7"	-0.390229840928047	0.357777110103775	-0.0962531817381148	0.374560878283388	0.347445437745486	-0.046875016096852	0.0332409181315236	-0.113118001977877	0.0368576786831778	0.138460743524692	-0.00327113585914203	0.0950403283097019	-0.0224054270016013	0.0748191456156657	-0.119831567502193	-0.0320261911069969	-0.0934409422465029	0.113975228144855	0.0405080757510109	-0.0579106734705107	0.0889232181561925	-0.136857547818274	0.0647000149329385	-0.123581947430111	-0.0144489581451519	-0.0151373350968355	0.0119697297423098	-0.095536129141758	-0.139726310580378	-0.0920129427186199	0.0028630164483199	0.0058209848575512	-0.0057450473144381	0.0828370678113095	-0.128865110880555	0.151215427061761	-0.0845958317161759	-0.015460804708474	-0.0528127415159547	0.0850260031716227	0.0864822775238356	-0.0167664152320239	-0.0213645280148005	0.038179435491849	0.0606954065927317	0.0606383162309531	0.0137404417685276	-0.00309066101563823	0.104940531607739	-0.0504067361666699
"8"	-0.280329201108742	0.279245380690623	-0.121657069990972	0.369655037533414	0.177595952555427	0.149564176558407	0.0497639497137394	-0.0820672263861213	0.055596946707144	0.142169681069274	0.0059684105292889	0.0331191892514207	0.0871311934516062	-0.0811509293898093	-2.29476187401378e-05	-0.0050552437038182	0.0336586563383099	0.0719543924834367	0.0481386868228039	-0.0503398404937601	-0.00320126743348067	-0.277849266835898	0.124860360435647	-0.0367021508551414	0.0292103583162167	0.0533882008585014	-0.0373914628233821	0.00844995841203063	-0.0960207119271775	-0.116677784928052	-0.0560446932296533	-0.000417360487247408	-0.012523889341828	0.0915762267354856	-0.0829715599504052	0.175122148897958	-0.0140776386342585	0.0403414249834661	0.025363304467869	0.0167676063120567	0.0424825823793306	0.0815828476077143	-0.0329656544196494	0.0137698935574923	0.0604710625360825	0.00710029809371766	0.171515729092303	-0.0547639461991162	0.042174121732825	-0.0398241119005773
"9"	-0.396148198954696	0.309122716367764	-0.253041882853679	0.325934100656214	0.36720707986106	0.0214239920290043	0.0365639660446571	-0.0827972627583362	0.0807752894076001	0.0128576941145113	0.0173513708208275	-0.0616575294135773	0.0670241454736693	0.023305244669274	-0.0479875566573185	0.0231233554486294	-0.0126170026879348	0.0277274288577127	0.0874169133876596	-0.052170655391332	-0.0281044862326045	-0.139287475930505	0.185044229200573	-0.0352287526976755	-0.0265680375265722	-0.0187393473629851	0.00626651218039297	-0.0655185683814454	0.0281761776575439	0.00439761460152532	-0.00691260332713963	0.0467405530170917	0.00164833880673336	0.100258905202341	-0.0366633252340814	0.0258733758281713	-0.0244190373443957	-0.0117721222442835	-0.1304307547889	-0.00992396223852948	0.188159883560432	0.0576659713339631	0.111645950031029	0.120760940910959	0.0735791774159263	0.0112455483016954	0.144622281899232	0.016365754056664	-0.00882241429909386	-0.020656924579175
"10"	-0.279490606171497	0.383414620989156	-0.201547064356585	0.392026599552986	0.330287843171051	0.0756698452069592	0.133236748397778	-0.105075439071122	-0.100781464219159	0.16429924403714	-0.0155594056797715	0.117276492623506	0.00150402342108173	-0.0181501009492396	0.0216548002433574	0.0984028064359269	0.0554292862370432	0.0411693769873551	0.0309030570451954	-0.0991754917385899	0.00166407881829429	-0.2364990305725	0.185149418957849	-0.0658393199016054	0.0522793629727909	-0.0233431816110798	-0.0289781400464004	-0.0192749053081273	-0.113435176355546	0.0260607329469513	-0.0561947268862128	0.0474723073138817	-0.103027396196699	-0.0419751735642552	-0.150454659621256	0.166344968917122	-0.00499101764101297	0.0511795672070095	-0.0109960046870817	0.00768986393335668	0.0825631577396117	0.0727597803385361	-0.0502556224926559	0.167432958165995	0.0828857202591497	0.0805196952108488	0.0891823547493277	-0.0520432086396106	-0.0305575368299238	-0.103135638961415
