"b.1"	"b.2"
"1"	-3.76702718583628	24.4136462889459
"2"	3.49511579842187	-4.90976965490858
"3"	4.23954691579818	-6.18551665372795
"4"	3.5691305383605	-5.22507201747864
"5"	3.72672838446836	-5.34694756510546
"6"	3.02490105300098	-4.21720938323681
"7"	2.97603766497123	-4.2739306028103
"8"	2.83786629150788	-4.16800606169066
"9"	3.40160654899548	-4.95001266699252
"10"	3.59382971423078	-5.04529050256305
"11"	2.9799136042697	-4.11980646267633
"12"	3.20212073974441	-4.37360822145684
"13"	3.20850433917739	-4.52785478889581
"14"	3.33094557418871	-4.58262594635418
"15"	3.69554278412098	-5.21699947109776
"16"	3.39181159733576	-4.69714288261314
"17"	2.88645068290809	-4.04507776481749
"18"	3.38391785825001	-4.64014765780256
"19"	3.90333066480895	-5.39823988269695
"20"	3.88411151289427	-5.6436065192382
"21"	3.32062672387432	-4.94326260586028
"22"	3.58115924702804	-5.12363338344243
"23"	3.45936130921998	-4.84909684303626
"24"	3.53094442446284	-4.92643023758489
"25"	4.01823767719531	-5.72116377010436
"26"	3.70208868641189	-5.35777203801852
"27"	3.16822088002144	-4.51931140533627
"28"	3.79922240284068	-5.21854296242782
"29"	3.43500566660642	-4.7988031703191
"30"	3.3740389411179	-4.64837894141257
"31"	3.43595651935221	-4.62338877779177
"32"	3.26045043798888	-4.48352950108988
"33"	3.07263418516751	-4.37727904836249
"34"	2.6834937533364	-3.81149763615803
"35"	3.04996518254194	-4.27034395856869
"36"	2.82732743005285	-4.12885375001544
"37"	3.24642922053097	-4.60247479402795
"38"	2.7169125072941	-4.01187668789745
"39"	3.37732859002437	-4.82503654442771
"40"	3.39224499967531	-4.7258915733955
"41"	3.69851928707305	-5.24530959276526
"42"	3.63173158937315	-5.27417863117248
"43"	3.34012610879817	-4.72205293017087
"44"	3.0734206438759	-4.41571257947126
"45"	3.22377221876787	-4.86076512791368
"46"	3.62087072225755	-5.26736356528939
"47"	3.48900368961259	-4.88778163167401
"48"	3.34671228361056	-4.86870501247722
"49"	4.2286295161212	-5.90231469600653
"50"	3.828981856519	-5.64691177570692
"51"	3.68712991063411	-5.20715664321774
"52"	3.45188245309809	-5.02236766995639
"53"	3.94949657083964	-5.31416406491409
"54"	3.57881669469857	-4.93286813270506
"55"	3.42597278583652	-4.77104672243607
"56"	3.29683574671527	-4.69148257770832
"57"	3.10897399817378	-4.34387269317376
"58"	3.7098976926931	-5.30655492832283
"59"	3.70824584817095	-5.2866653262692
"60"	3.78967529543698	-5.35931464874754
