gene	Slide8_001_PanCK	Slide8_002_PanCK	Slide8_004_PanCK	Slide8_005_PanCK	Slide8_006_PanCK	Slide1_001_PanCK	Slide1_002_PanCK	Slide1_003_PanCK	Slide1_004_PanCK	Slide1_006_PanCK	Slide1_007_PanCK	Slide1_008_PanCK	Slide1_009_PanCK	Slide7_001_PanCK	Slide7_003_PanCK	Slide7_004_PanCK	Slide7_005_PanCK	Slide7_007_PanCK	Slide7_008_PanCK	Slide3_001_PanCK	Slide3_002_PanCK	Slide3_005_PanCK	Slide3_006_PanCK	Slide3_008_PanCK	Slide3_009_PanCK	Slide3_010_PanCK	Slide4_004_PanCK	Slide2_001_PanCK	Slide2_002_PanCK	Slide2_003_PanCK	Slide2_004_PanCK	Slide6_003_PanCK	Slide6_004_PanCK	Slide6_005_PanCK	Slide6_006_PanCK	Slide5_001_PanCK	Slide5_003_PanCK	Slide5_004_PanCK	Slide5_005_PanCK	Slide5_006_PanCK
AMFR	2.85507418810286	3.33091988612001	8.32729971530002	9.99275965836002	11.4202967524115	13.6112409734976	13.9405165604282	12.4017285045718	12.8619678770971	15.4726601161704	12.7458669111735	13.363811109373	13.2475442327973	24.2313699870104	22.0294928832028	22.9494734526743	14.98913948754	20.1578082763469	14.837734038171	6.66183977224001	8.95902590059864	8.83974892854925	12.49094957295	7.72167791782365	8.2797151454983	7.99420772668802	16.987691419212	15.4433558356473	11.65821960142	1.42753709405143	11.991311590032	6.4659033083506	3.99710386334401	5.99565579501601	8.74366470106502	23.4040949893169	26.230994103195	16.7878362260448	22.317163237004	24.4983785172697
TBC1D4	7.13768547025716	3.33091988612001	4.99637982918001	4.99637982918001	7.13768547025716	4.88854429329843	6.53847236905038	6.7808011967443	5.93629286635249	3.7875782576042	6.01604918207389	5.2973665658776	4.73942315225075	2.78767973301889	3.17951443675091	2.37116330876339	3.12273739323751	3.27349023291104	5.29919072791819	8.88245302965335	6.54698046582208	4.61204291924309	6.87002226512252	4.54216348107274	5.99565579501601	5.99565579501601	2.99782789750801	7.26746156971638	8.32729971530002	5.71014837620573	6.2811632138263	5.29028452501413	6.66183977224001	3.99710386334401	6.87002226512252	6.04824926690212	8.74366470106502	5.99565579501601	8.32729971530002	3.86816502904259
PLPP2	12.8478338464629	6.66183977224001	11.65821960142	4.99637982918001	8.56522256430859	13.131971925135	14.4339861731867	10.9741914105204	11.2789564460697	14.3444453160329	11.9301314288584	12.2802588572617	15.931313969614	34.1383548843544	31.0002657583214	28.1152220896231	30.2905527144038	28.5999672980649	23.4678446522091	19.98551931672	13.7831167701518	18.8325085869093	16.238234444835	19.0770866205055	23.4116083424435	19.5858089303856	13.989863521704	14.5349231394328	24.9818991459	8.56522256430859	15.1318931969452	9.40495026669178	10.658943635584	19.98551931672	11.8664020943025	19.1966172384285	21.234614274015	24.3823335663985	24.9818991459	23.8536843457626
ABHD18	9.99275965836002	3.33091988612001	4.99637982918001	8.32729971530002	8.56522256430859	5.17610572231598	5.30479833715408	4.99637982918001	3.85859036312912	6.44694171507098	5.60818144091634	4.81578778716145	5.31043798987132	3.2594409186067	4.20150121999228	3.47206055926068	3.74728487188501	3.96264607141863	4.99637982918001	10.5479129727134	8.61444798134484	6.5337274689277	8.74366470106502	6.35902887350183	7.13768547025716	4.79652463601281	3.99710386334401	2.72529808864364	1.66545994306	2.85507418810286	3.42608902572344	5.29028452501413	7.32802374946402	8.66039170391202	6.24547478647501	6.8371513451937	7.80684348309377	5.99565579501601	5.66256380640401	4.51285920054969
ID1	5.71014837620573	6.66183977224001	3.33091988612001	6.66183977224001	1.42753709405143	3.64244476755569	3.20755248293038	2.40896884621179	1.78088785990575	1.53114865732936	2.24327257636653	1.68552572550651	2.68376973681669	1.54394569828739	2.61174400161682	2.70990092430102	2.49818991459	5.6855356676876	3.4823253354891	7.21699308659335	3.79035711179173	1.5373476397477	4.99637982918001	6.35902887350183	5.71014837620573	3.19768309067521	3.99710386334401	0.908432696214547	4.99637982918001	1.42753709405143	4.2826112821543	4.70247513334589	3.99710386334401	1.332367954448	3.74728487188501	3.41857567259685	4.05955861120876	2.3982623180064	3.66401187473201	3.54581794328904
ALMS1	2.85507418810286	3.33091988612001	3.33091988612001	11.65821960142	12.8478338464629	5.84708239002361	6.29173756267112	5.5317062394493	4.65009607864278	6.04400785787904	4.69047902331184	6.50131351266796	5.8814528274919	10.2929713219159	9.08432696214547	9.23060002340035	8.43139096174127	9.13131486022554	8.6301106140382	10.5479129727134	9.99275965836002	9.22408583848617	6.24547478647501	9.53854331025275	7.42319288906745	8.39391811302242	4.99637982918001	8.17589426593093	11.65821960142	2.85507418810286	8.2797151454983	7.05371270001884	9.32657568113602	7.32802374946402	8.11911722241752	9.20385758006844	10.3050333976838	8.39391811302242	10.658943635584	10.6374538298671
CD2	4.2826112821543	3.33091988612001	4.99637982918001	6.66183977224001	1.42753709405143	2.49219905148547	2.59071546698223	1.78442136756429	4.15540500644674	1.2893883430142	3.26294192926041	2.16710450422265	2.05565341543406	1.80126998133528	3.63373078485819	2.54053211653221	3.43501113256126	3.61806815216484	6.66183977224002	4.99637982918001	7.23613630432967	6.91806437886463	9.36821217971252	7.26746156971638	3.71159644453372	5.59594540868161	1.998551931672	1.81686539242909	4.99637982918001	1.42753709405143	3.99710386334401	2.35123756667295	3.33091988612001	5.99565579501601	2.49818991459001	1.57780415658316	2.49818991459	2.3982623180064	1.998551931672	1.93408251452129
CADM1	1.42753709405143	9.99275965836002	1.66545994306	1.66545994306	4.2826112821543	2.77976048050303	2.59071546698223	2.14130564107715	2.57239357541941	2.17584282883646	2.85507418810286	2.76907797761784	2.05565341543406	3.5167652016546	3.97439304593864	3.98016698256712	3.12273739323751	3.44577919253794	3.33091988612001	11.65821960142	10.3373375776138	10.3770965682969	3.12273739323751	9.99275965836002	16.5594302909966	7.99420772668802	6.99493176085201	1.81686539242909	3.33091988612001	5.71014837620573	2.56956676929258	8.81714087502355	4.66328784056801	5.32947181779201	8.11911722241752	6.31121662633265	4.37183235053251	7.99420772668802	2.99782789750801	5.47990045781033
PDP1	4.2826112821543	6.66183977224001	6.66183977224001	3.33091988612001	11.4202967524115	3.25902952886562	2.71408287017186	3.21195846161572	3.56177571981149	2.82053700034355	3.87474354099674	2.88947267229687	3.5973934770096	5.87557112959366	5.10993391620683	7.02880552240578	8.11911722241752	6.03011358694139	6.81324522160911	3.88607320047334	6.20240254656829	5.38071673911693	9.36821217971252	4.54216348107274	5.13913353858515	6.39536618135041	14.98913948754	5.45059617728728	1.66545994306	5.71014837620573	5.13913353858515	4.70247513334589	5.32947181779201	5.32947181779201	11.8664020943025	3.68154303202738	7.18229600444627	3.59739347700961	5.32947181779201	3.22347085753549
KCTD20	7.13768547025716	3.33091988612001	9.99275965836002	3.33091988612001	8.56522256430859	14.1863638315327	12.336740318963	12.8478338464629	11.872585732705	12.49094957295	12.4399661053053	9.63157557432291	13.5330516516076	12.8662141523949	13.9671527042987	14.3963486603492	16.5505081841588	14.8168505279131	15.5947612850164	9.43760634400669	7.92529214283726	10.3770965682969	8.11911722241752	5.90481252539456	6.85217805144687	6.79507656768481	10.992035624196	12.7180577470037	9.99275965836002	9.99275965836002	13.7043561028937	12.9318066167012	12.657495567256	6.66183977224001	13.740044530245	8.41495550177686	9.05593844038877	4.39681424967841	7.99420772668802	7.41398297233163
