"b.1"	"b.2"
"1"	-3.76702718583628	24.4136462889459
"2"	3.44544378564774	-4.67239316015172
"3"	4.00034097445112	-5.41191578716237
"4"	3.80267720139764	-5.1775602224015
"5"	3.62801630363207	-5.00973651749281
"6"	3.6059921212066	-5.07474000643353
"7"	3.36802920156573	-4.67275865675638
"8"	3.00466118815299	-4.25960791221942
"9"	3.20042593777789	-4.55832522427328
"10"	3.18926789003436	-4.62275387775396
"11"	3.28532739274805	-4.73274578739162
"12"	3.47431931643736	-4.92366213862976
"13"	3.37057648859666	-4.71757404344074
"14"	3.30421683324234	-4.69103466067153
"15"	3.28823646128413	-4.59492757906788
"16"	3.20070985260844	-4.45403446294111
"17"	3.03527833091239	-4.18911046472003
"18"	3.04784987591615	-4.25378987149952
"19"	3.27451383462701	-4.48108581584883
"20"	3.21874504965749	-4.50859692357835
"21"	3.04408747100214	-4.27972074351615
"22"	3.19477997658438	-4.47452212676684
"23"	3.05147220935117	-4.35489525316127
"24"	3.34403728538794	-4.72369142249565
"25"	3.41365775537612	-4.7731871371419
"26"	3.56426199644472	-4.9777551187873
"27"	3.61630793692268	-5.04712689342902
"28"	3.37415950724162	-4.70867595789256
"29"	3.43328275360427	-4.77138344800659
"30"	3.26751754946976	-4.49200737293415
"31"	3.34746955745647	-4.61901263913283
"32"	2.82678567352752	-3.98460447200287
"33"	2.59317052158508	-3.79810870416738
"34"	3.03558068436092	-4.44022047394336
"35"	3.16596437056726	-4.6210619663969
"36"	3.05148837933131	-4.47148163613229
"37"	2.99272877542525	-4.53421891188601
"38"	3.19350021984452	-4.87908819311059
"39"	3.42061763985017	-5.14581171597222
"40"	3.44141275156849	-5.17795055117612
"41"	3.40924487295546	-5.07502094560212
"42"	3.33606953061412	-4.85716635572126
"43"	3.16591583035821	-4.65798605403792
"44"	3.330004186211	-4.84874768423274
"45"	3.14824192604479	-4.66793162113742
"46"	3.02806401586424	-4.46860386749056
"47"	2.98201225651969	-4.30795621249365
"48"	3.04884417360757	-4.39687600560383
"49"	3.28340077218007	-4.68160962702977
"50"	3.35454142298879	-4.76592595706722
"51"	3.41480834689745	-4.88088895692515
"52"	3.42599182667848	-4.90490123795001
"53"	3.47260069451526	-4.98017682876109
"54"	3.79531708290838	-5.3983924148532
"55"	3.63733411873534	-5.20959309668031
"56"	3.05087090189571	-4.5081083486196
"57"	3.10561601435123	-4.64580358914392
"58"	3.28559049306931	-4.84381493793438
"59"	3.64171291439094	-5.30518561796976
"60"	3.4929863535134	-5.0199862153635
