"pip.1"	"pip.2"	"pip.3"	"pip.4"
"1601"	0.8275	0.415	0.345	0.6975
"1602"	0.645	0.25	0.35	0.735
"1603"	0.635	0.3325	0.93	0.4475
"1604"	0.365	0.37	0.26	0.295
"1605"	0.3775	0.19	0.14	0.3575
"1606"	0.735	0.97	0.61	0.79
"1607"	0.6225	0.2975	0	0.52
"1608"	0.4725	0.33	0	0.1775
"1609"	0.445	0.3025	0.4675	0.4525
"1610"	0.3475	0.3475	0	0.1275
"1611"	0.41	1	0.195	0.1275
"1612"	0.29	0.0175	0.205	0.115
"1613"	0.33	0.1075	0.2775	0.18
"1614"	0.3125	0.3275	0.06	0.1475
"1615"	0.2325	0.025	0	0.05
"1616"	0.4625	0.2275	0.08	0.3975
"1617"	0.9625	1	0.365	0.9675
"1618"	0.34	0.295	0.2325	0.225
"1619"	0.78	0.3125	0.14	0.96
"1620"	0.365	0.2125	0.435	0.28
"1621"	0.53	0	0.37	0.595
"1622"	0.32	0	0	0.0975
"1623"	0.4775	0.1625	0.13	0.55
"1624"	0.52	0.73	0.8175	0.5325
"1625"	0.74	0.2925	0.405	0.84
"1626"	0.2625	0.605	0	0.175
"1627"	0.2225	0.02	0	0.04
"1628"	0.3925	0.15	0.185	0.12
"1629"	0.5	0.005	0	0.265
"1630"	0.2525	0.2425	0.3125	0.095
"1631"	0.3025	0.2325	0.235	0.0825
"1632"	0.3325	0.175	0	0.1175
"1633"	0.48	0	0.07	0.4275
"1634"	0.5375	0.265	0.005	0.5675
"1635"	0.655	0	0.0575	0.7675
"1636"	0.44	0	0.06	0.34
"1637"	0.2675	0.1825	0.635	0.1425
"1638"	0.0875	0	0	0.0875
"1639"	0.6975	0.3425	0.515	0.8225
"1640"	0.8125	0	0	0.72
"1641"	0.36	0.0725	0.24	0.2675
"1642"	0.3475	0.055	0	0.11
"1643"	0.76	0.32	0.03	0.7875
"1644"	0.23	0.275	0.055	0.195
"1645"	0.2825	0.0025	0.175	0.1975
"1646"	0.195	0.4975	0.03	0.1475
"1647"	0.025	0.005	0	0.0375
"1648"	0.3475	0.715	0	0.1325
"1649"	0.455	0	0.47	0.225
"1650"	0.265	0.1675	0	0.2075
"1651"	0.54	0.36	0.42	0.5625
"1652"	0.33	0.17	0.2125	0.24
"1653"	0.635	0.185	0.35	0.695
"1654"	0.235	0.165	0.16	0.095
"1655"	0.3	0.255	0.1475	0.1275
"1656"	0.28	0.125	0.175	0.095
"1657"	0.1825	0.08	0.145	0.0875
"1658"	0.4075	0.3025	0.255	0.32
"1659"	0.44	0.885	0.6125	0.55
"1660"	0.2025	0.65	0	0.24
"1661"	0.5175	0.2925	0.275	0.815
"1662"	0.3775	0.505	0	0.5575
"1663"	0.29	0.1	0.5375	0.07
"1664"	0.2925	0.2075	0.4275	0.0975
"1665"	0.3425	0.27	0.645	0.2175
"1666"	0.6325	0.12	0.88	0.7425
"1667"	0.875	0.3175	0.475	0.97
"1668"	0.3275	0.9975	0.05	0.165
"1669"	0.5875	0.295	0.685	0.6
"1670"	0.6675	0.33	0.065	0.765
"1671"	0.0725	0.215	0.0025	0.0775
"1672"	0.9625	0.37	0.72	0.985
"1673"	0.2575	0.15	0.04	0.1225
"1674"	0.175	0.1075	0.1275	0.0775
"1675"	0.4625	0.2375	0.0325	0.355
"1676"	0.3425	0.1525	0	0.18
"1677"	0.2875	0.095	0.0275	0.08
"1678"	0.425	0	0.0125	0.1725
"1679"	0.585	0.43	0.03	0.9
"1680"	0.25	0.23	0.155	0.07
"1681"	0.115	0.075	0.0975	0.095
"1682"	0.38	0.165	0.255	0.2275
"1683"	0.4775	0.215	0.2225	0.3725
"1684"	0.15	0.175	0.24	0.095
"1685"	0.83	0.125	0.2525	0.82
"1686"	0.5675	1	0.9275	0.4175
"1687"	0.125	0.1175	0.31	0.15
"1688"	0.1375	0.2225	0.0225	0.065
"1689"	0.665	0.2025	0.42	0.87
"1690"	0.3525	0.3975	0.1125	0.1075
"1691"	0.0475	0	0	0.025
"1692"	0.4325	0.095	0.1175	0.3475
"1693"	0.675	0.9925	0	0.68
"1694"	0.315	0.23	0.0525	0.12
"1695"	0.82	0	0.9975	0.78
"1696"	0.2975	0.075	0.245	0.1125
"1697"	0.32	0.2175	0.375	0.285
"1698"	0.37	0.3225	0	0.15
"1699"	0.7875	0.8525	0.455	0.7
"1700"	0.2175	0	0.14	0.03
"1701"	0.515	0.1325	0.7225	0.4375
"1702"	0.2	0	0.105	0.33
"1703"	0.66	0.24	0.4025	0.96
"1704"	0.42	0.2125	0.1275	0.1525
"1705"	0.2825	0	0.1375	0.105
"1706"	0.34	0.3775	1	0.2275
"1707"	0.3025	0.13	1	0.185
"1708"	0.2125	0.2525	0.325	0.2725
"1709"	0.8275	0.4925	0.16	0.755
"1710"	0.27	0.065	0.325	0.06
"1711"	0.26	0.1525	0.675	0.1475
"1712"	0.275	0.0275	0.3375	0.2225
"1713"	0.57	0.27	0.6025	0.4825
"1714"	0.72	0.08	0.46	0.945
"1715"	0.3875	0.285	0.3475	0.3
"1716"	0.27	0	0.355	0.275
"1717"	0.75	0.1925	0.2975	0.8975
"1718"	0.08	0.0575	0.09	0.0975
"1719"	0.2975	0.0675	0.01	0.185
"1720"	0.6925	1	0.4725	0.8
"1721"	0.2225	0.145	0	0.0475
"1722"	0.515	0.1425	0.1125	0.555
"1723"	0.5325	0.2825	0.1	0.3325
"1724"	0.6075	0.35	0.3975	0.965
"1725"	0.6575	0.3075	0.3175	0.6775
"1726"	0.4875	0.3425	0	0.6375
"1727"	0.8425	0.25	0.41	0.9225
"1728"	0.6525	0	0.3475	0.795
"1729"	0.5225	0	0.38	0.8475
"1730"	0.5	0.545	0.01	0.4975
"1731"	0.4225	0.3025	0.2925	0.1175
"1732"	0.785	0.2075	0.485	0.975
"1733"	0.2525	0	0.5675	0.3825
"1734"	0.2975	0.28	0.08	0.1275
"1735"	0.645	0.245	0.385	0.7525
"1736"	0.385	0.305	0.9875	0.2
"1737"	0.29	0	0.275	0.2575
"1738"	0.485	0	0.53	0.6525
"1739"	0.3525	0.33	0.2275	0.19
"1740"	0.28	0.1925	0.3175	0.1075
"1741"	0.1225	0.2	0.0375	0.0425
"1742"	0.375	0.085	0.06	0.265
"1743"	0.1475	0.015	0	0.205
"1744"	0.2375	0.155	0	0.12
"1745"	0.3425	0	0.0175	0.12
"1746"	0.3525	0.2775	0.2525	0.4725
"1747"	0.575	0	0.6625	0.355
"1748"	0.445	0.24	0.2475	0.3625
"1749"	0.525	0.33	0.565	0.39
"1750"	0.3875	0.315	0.09	0.255
"1751"	0.3275	0	0.1775	0.19
"1752"	0.35	0.465	0.03	0.1475
"1753"	0.3875	0.1875	0.0625	0.325
"1754"	0.76	0	0.435	0.6075
"1755"	0.34	0.185	0.0725	0.265
"1756"	0.33	0.2225	0.4375	0.0925
"1757"	0.3975	0.4	0	0.1825
"1758"	0.6375	0.995	0.295	0.6425
"1759"	0.35	0.27	0	0.085
"1760"	0.3625	0.2875	0.205	0.21
"1761"	0.6425	0.1825	0.2475	0.66
"1762"	0.9	0.775	1	0.86
"1763"	0.315	0.005	0.235	0.3125
"1764"	0.5975	0	0.1825	0.9275
"1765"	0.94	0.2225	0.41	0.9325
"1766"	0.355	0.0875	0.2625	0.275
"1767"	0.83	0.2625	0	0.9775
"1768"	0.9375	0.3375	0.9875	0.935
"1769"	0.2575	0.2	0.2975	0.3625
"1770"	0.355	1	0.1975	0.0625
"1771"	0.68	0	0.295	0.7275
"1772"	0.3375	0.225	0.775	0.22
"1773"	0.2975	0.225	0.105	0.1125
"1774"	0.5775	0.2975	1	0.66
"1775"	0.7625	0.98	0.6725	0.835
"1776"	0.4175	0.1175	0.2475	0.0925
"1777"	0.3875	0.2275	0.2575	0.1
"1778"	0.8175	0.3	0.235	0.7525
"1779"	0.755	0.6575	0.5175	0.7225
"1780"	0.6375	0.3075	0.3575	0.9225
"1781"	0.61	0	0	0.6925
"1782"	0.0525	0.21	0	0.1
"1783"	0.2975	0.63	0.1925	0.18
"1784"	0.2225	0	0.235	0.0925
"1785"	0.2575	0.0725	0	0.055
"1786"	0.8425	0.8	0.3875	0.7425
"1787"	0.43	0.2725	0.1475	0.33
"1788"	0.305	0.1525	0.7325	0.0775
"1789"	0.76	0.445	0.335	0.915
"1790"	0.3425	0	0.54	0.1125
"1791"	0.7925	1	0.2775	0.705
"1792"	0.4925	0.28	0.26	0.715
"1793"	0.65	0.375	0.295	0.6775
"1794"	0.77	0.3275	0	0.94
"1795"	0.9725	1	1	0.9625
"1796"	0.9525	0.4225	1	0.925
"1797"	0.2675	0	0	0.135
"1798"	0.45	0	0.3125	0.2675
"1799"	0.755	0.3275	0.295	0.8225
"1800"	0.2975	0.9925	1	0.37
"1801"	0.7725	0.4025	0	0.9725
"1802"	0.385	0.21	0.015	0.2875
"1803"	0.5575	0	0.085	0.3725
"1804"	0.2925	0.255	0	0.4475
"1805"	0.2775	0.125	0.155	0.1125
"1806"	0.2375	0.1825	0.105	0.09
"1807"	0.1425	0	0.205	0.22
"1808"	0.355	0	0	0.125
"1809"	0.4225	0	0.8825	0.345
"1810"	0.67	0.125	0.19	0.45
"1811"	0.67	0.3725	0	0.5775
"1812"	0.245	0.07	0.2375	0.11
"1813"	0.35	0.5025	0.735	0.19
"1814"	0.325	0	0.2825	0.375
"1815"	0.5875	0.0075	0	0.885
"1816"	0.3775	0.4675	0.0225	0.21
"1817"	0.2825	0.21	0.2225	0.135
"1818"	0.655	0.2275	0.3225	0.955
"1819"	0.305	0.3225	0	0.29
"1820"	0.62	0.3175	0.695	0.7225
"1821"	0.495	0.38	0.58	0.45
"1822"	0.3325	0	0.275	0.1875
"1823"	0.3775	0.475	0.24	0.1875
"1824"	0.1325	0.145	0.5175	0.1475
"1825"	0.4225	0	0.7325	0.6425
"1826"	0.2825	0.4175	0.1825	0.4075
"1827"	0.6475	0.26	0	0.685
"1828"	0.0775	0.2	0	0.075
"1829"	0.3025	0	0.1675	0.2075
"1830"	0.19	0.08	0.275	0.2025
"1831"	0.3025	0.11	0.3025	0.2175
"1832"	0.27	0.2625	0.01	0.355
"1833"	0.29	0.2475	0.125	0.2575
"1834"	0.2925	0	0.1675	0.2475
"1835"	0.355	0.4375	0.1225	0.275
"1836"	0.045	0.25	0	0.09
"1837"	0.3575	0.2875	0.005	0.1325
"1838"	0.59	0.2375	0.1525	0.415
"1839"	0.09	0	0	0.18
"1840"	0.56	0.45	0.13	0.7525
"1841"	0.3075	0.225	0.32	0.1525
"1842"	0.8475	0.8325	0.005	0.8875
"1843"	0.4025	0.24	0.0575	0.2775
"1844"	0.76	0.5925	0.9975	0.91
"1845"	0.24	0.175	0.1225	0.105
"1846"	0.3075	0.315	0.3025	0.225
"1847"	0.53	0.3925	0.3675	0.64
"1848"	0.2125	0.1225	0	0.2525
"1849"	0.3175	0.15	0.5225	0.1175
"1850"	0.51	0	1	0.74
"1851"	0.26	0.29	0.12	0.075
"1852"	0.445	0.28	0.2275	0.3975
"1853"	0.5925	0.265	1	0.9
"1854"	0.3525	0.57	0.51	0.23
"1855"	0.6025	0.5275	0	0.5525
"1856"	0.52	0.24	0.245	0.53
"1857"	0.3325	0.26	0.7	0.2375
"1858"	0.2575	0.195	0.3225	0.0675
"1859"	0.3675	0.1325	0.195	0.135
"1860"	0.6175	0.3425	0.1575	0.6275
"1861"	0.075	0.0575	0.2	0.0425
"1862"	0.64	0.3125	0.9775	0.3725
"1863"	0.51	0.3275	0.17	0.74
"1864"	0.32	0	1	0.2925
"1865"	0.1825	0	0.255	0.045
"1866"	0.3425	0.2475	0.3325	0.2125
"1867"	0.13	0.0875	0.1075	0.0975
"1868"	0.515	0.335	0.095	0.24
"1869"	0.295	0.065	0.6525	0.17
"1870"	0.81	1	0.6075	0.975
"1871"	0.2275	0.0325	0	0.125
"1872"	0.5475	0.1425	0.8	0.6325
"1873"	0.43	0.31	0.2175	0.1
"1874"	0.39	0	0.0675	0.0975
"1875"	0.575	0.1725	0.3025	0.8625
"1876"	0.5	0.41	0.4275	0.4475
"1877"	0.66	0.355	0	0.8575
"1878"	0.865	0.18	0.535	0.9475
"1879"	0.3175	0.19	1	0.3225
"1880"	0.3025	0.4625	0.995	0.08
"1881"	0.41	0.2325	0.1975	0.6075
"1882"	0.895	1	1	0.805
"1883"	0.735	0.1475	0.49	0.8525
"1884"	0.3975	0.2075	0.1375	0.3175
"1885"	0.2675	0.2525	0.2325	0.1375
"1886"	0.75	0.03	0.985	0.995
"1887"	0.2175	0.175	0.4725	0.1125
"1888"	0.2975	0	0.0925	0.2625
"1889"	0.6275	0.3375	0.595	0.6375
"1890"	0.7	0.195	0.365	0.8325
"1891"	0.31	0.2375	0.2875	0.175
"1892"	0.6025	0.2975	0.2875	0.5525
"1893"	0.2625	0.06	0.505	0.0625
"1894"	0.4025	0.21	0	0.1125
"1895"	0.3	1	0.27	0.09
"1896"	0.12	0.6125	0.1025	0.05
"1897"	0.3625	0.2025	0.1725	0.2475
"1898"	0.2275	0.0025	0.0225	0.12
"1899"	0.2775	0.205	0.155	0.0475
"1900"	0.1525	0.4425	0.255	0.135
"1901"	0.23	0	0	0.175
"1902"	0.3775	0.17	0.6175	0.3325
"1903"	0.985	0.44	1	0.9725
"1904"	0.3325	0.27	0.3075	0.305
"1905"	0.65	0.64	0.185	0.7675
"1906"	0.495	0.125	0.36	0.17
"1907"	0.315	0.2025	0.9525	0.1825
"1908"	0.7325	0.585	0.0975	0.7225
"1909"	0.1725	0	0.2925	0.245
"1910"	0.43	0	0.4125	0.52
"1911"	0.45	0.22	0.245	0.31
"1912"	0.26	0.3225	0.0975	0.095
"1913"	0.375	0.18	1	0.17
"1914"	0.375	0.2125	1	0.135
"1915"	0.3	0.035	0.2675	0.08
"1916"	0.13	0.045	0.35	0.175
"1917"	0.4475	0.5025	0.61	0.495
"1918"	0.2175	0.15	0.2675	0.0475
"1919"	0.3025	0.4975	0.13	0.4575
"1920"	0.935	0.3325	0.27	0.9075
"1921"	0.45	0.995	0.0125	0.155
"1922"	0.6675	0.23	0.295	0.895
"1923"	0.28	0.2575	0.0225	0.055
"1924"	0.7875	0.45	0.8825	0.78
"1925"	0.705	0.5475	0.255	0.615
"1926"	0.435	0.19	1	0.2
"1927"	0.51	0.8375	0.52	0.4325
"1928"	0.2475	0.26	0.3525	0.2875
"1929"	0.53	0.0925	0.13	0.22
"1930"	0.5125	0.27	0.79	0.5725
"1931"	0.5625	0.0025	0	0.85
"1932"	0.295	0.195	0	0.1825
"1933"	0.75	0.57	0.075	0.9
"1934"	0.3475	0.51	0.38	0.1725
"1935"	0.3525	0.31	0.13	0.1975
"1936"	0.4925	0.1875	0.2025	0.3975
"1937"	0.1525	0.4575	0.1825	0.12
"1938"	0.7875	0.3675	0.67	0.9825
"1939"	0.64	0.6575	0.21	0.705
"1940"	0.2475	0	0.0675	0.0725
"1941"	0.245	0	0.37	0.1075
"1942"	0.3725	0.2325	0.015	0.2625
"1943"	0.5325	0.26	0	0.555
"1944"	0.535	0	0	0.195
"1945"	0.6025	0.2025	0.39	0.3175
"1946"	0.25	0.205	0.1275	0.1
"1947"	0.54	0.2625	0	0.3725
"1948"	0.5225	1	0.2925	0.4575
"1949"	0.3025	0	0	0.2075
"1950"	0.3075	0.3	0.035	0.06
"1951"	0.6225	0.3425	0.505	0.5825
"1952"	0.2825	0.15	0.6975	0.12
"1953"	0.805	0.97	0.655	0.9275
"1954"	0.6475	0.645	0.5275	0.495
"1955"	0.11	0.2425	0.2525	0.065
"1956"	0.1775	0.2175	0.285	0.2375
"1957"	0.83	0.7	0.3125	0.94
"1958"	0.3125	0.3325	0.405	0.4325
"1959"	0.395	0.135	1	0.2925
"1960"	0.4925	0.2325	1	0.345
"1961"	0.0725	0	0.425	0.0375
"1962"	0.0125	0	0	0.0375
"1963"	0.625	0.3875	0.53	0.905
"1964"	0.7525	0.21	0.39	0.88
"1965"	0.3625	0	0.295	0.175
"1966"	0.68	0.335	0.6725	0.7575
"1967"	0.5325	0	0	0.7
"1968"	1	0.465	1	0.9975
"1969"	0.665	0.9	0.2375	0.8225
"1970"	0.33	0.99	0.2675	0.1475
"1971"	0.3775	0.31	0	0.1675
"1972"	0.1525	0.0675	0.37	0.0425
"1973"	0.8775	0.4775	0.2	0.855
"1974"	0.2775	0.22	0.44	0.1425
"1975"	0.4675	0	0.16	0.69
"1976"	0.9725	0.35	0.47	0.9925
"1977"	0.31	0.1075	0.16	0.1175
"1978"	0.455	0.185	0	0.39
"1979"	0.33	0.255	0.845	0.43
"1980"	0.4575	0.7575	1	0.2325
"1981"	0.405	0.0275	0.2775	0.1775
"1982"	0.7575	0	0	0.855
"1983"	0.265	0.3625	0.055	0.28
"1984"	0.5	0.0275	0	0.405
"1985"	0.3625	0.2475	0.1525	0.1225
"1986"	0.7	0.215	0.24	0.82
"1987"	0.4125	0.4175	0	0.3025
"1988"	0.63	0.3	0.3425	0.91
"1989"	0.6875	0.275	0.3175	0.8325
"1990"	0.755	0.19	0.3825	0.6175
"1991"	0.6	0.1575	0.4325	0.7625
"1992"	0.4625	0.24	0.2375	0.18
"1993"	0.705	1	0.3175	0.8975
"1994"	0.5275	0.2025	0	0.65
"1995"	0.805	0.4475	0.5625	0.9875
"1996"	0.37	0.145	1	0.0825
"1997"	0.2575	0.3875	0.405	0.1925
"1998"	0.8	0.2825	0.395	0.94
"1999"	0.5875	0.115	0	0.9025
"2000"	0.4	0.0275	0.49	0.2075
"2001"	0.4375	0.2075	0.2775	0.165
"2002"	0.36	0.0225	0.53	0.53
"2003"	0.8175	0.4375	0.455	0.9875
"2004"	0.2325	0.2175	0.865	0.1
"2005"	0.4375	0.45	0.43	0.435
"2006"	0.0475	0	0.175	0.005
"2007"	0.0075	0	1	0.02
"2008"	0.58	0.4225	1	0.8575
"2009"	0.5175	0.615	0.36	0.3875
"2010"	0.5275	0.2475	0.6125	0.55
"2011"	0.2275	0.405	0	0.285
"2012"	0.28	0.28	1	0.1075
"2013"	0.9825	0.345	1	0.9825
"2014"	0.4625	0.9775	0.25	0.3575
"2015"	0.7125	0.2225	0.2925	0.665
"2016"	0.16	0.015	0.005	0.115
"2017"	0.2075	0.0375	0	0.0825
"2018"	0.1925	0.05	0.4075	0.085
"2019"	0.145	0.225	0.2025	0.115
"2020"	0.6225	0.22	0.19	0.7975
"2021"	0.7325	0.1925	0.395	0.9475
"2022"	0.305	0	0.2575	0.105
"2023"	0.24	0	0	0.08
"2024"	0.32	0.235	0.2	0.2275
"2025"	0.1375	0.3475	0	0.21
"2026"	0.3125	0.2475	0.145	0.12
"2027"	0.27	0.7725	0.1275	0.165
"2028"	0.4575	0.2575	0.1025	0.415
"2029"	0.24	0.18	0.0425	0.155
"2030"	0.2975	0.325	0.3975	0.1525
"2031"	0.3525	0.41	0.1975	0.455
"2032"	0.455	0.565	0.1325	0.75
"2033"	0.4725	1	0.51	0.4025
"2034"	0.35	0.14	0.385	0.2275
"2035"	0.275	0.5325	0.2475	0.0925
"2036"	0.825	0.045	1	0.9925
"2037"	0.4725	0.21	1	0.475
"2038"	0.895	0.3325	0.58	0.85
"2039"	0.355	0.2975	0.18	0.2675
"2040"	0.035	0.0725	0	0.0425
"2041"	0.64	0.605	0	0.9475
"2042"	0.665	1	0.565	0.5675
"2043"	0.27	0.355	0.23	0.125
"2044"	0.6575	0	0.325	0.675
"2045"	0.33	0.2225	0.245	0.135
"2046"	0.365	0.29	0.21	0.27
"2047"	0.4275	0.2225	0.15	0.6325
"2048"	0.6575	0.045	0.4275	0.835
"2049"	0.395	0.225	0.27	0.315
"2050"	0.53	0.1325	0.815	0.27
"2051"	0.605	0.5025	0.925	0.665
"2052"	0.44	0.055	0.2	0.1425
"2053"	0.7475	0.355	0.2725	0.89
"2054"	0.36	0	0.2825	0.37
"2055"	0.675	0	1	0.4875
"2056"	0.405	0.24	0.2075	0.3025
"2057"	0.775	0.365	0.0275	0.915
"2058"	0.26	0.5025	0.18	0.08
"2059"	0.39	0.1075	0	0.1075
"2060"	0.3475	1	0.43	0.2575
"2061"	0.5075	0.0725	0.685	0.6975
"2062"	0.095	0.1425	0	0.0725
"2063"	0.625	0.22	0.345	0.8725
"2064"	0.4725	0.3225	0.2	0.565
"2065"	0.0475	0	0	0.0725
"2066"	0.6225	0.1975	0	0.605
"2067"	0.1	0.205	0.3225	0.1225
"2068"	0.6625	0.3725	0.02	0.9475
"2069"	0.67	0.31	0.4925	0.9775
"2070"	0.46	0	0.2275	0.355
"2071"	0.21	0	0	0.145
"2072"	0.9825	1	0.8475	0.98
"2073"	0.6475	0.12	0.06	0.7175
"2074"	0.09	0.08	0.0075	0.0875
"2075"	0.3125	0.31	0	0.12
"2076"	0.31	0.14	0.845	0.0775
"2077"	0.57	0.195	0.8075	0.84
"2078"	0.7175	0.31	0.5025	0.8975
"2079"	0.53	0.27	1	0.4
"2080"	0.4175	0.1475	0	0.3025
"2081"	0.3975	0.0825	0.25	0.255
"2082"	0.2475	0.365	0	0.085
"2083"	0.7025	0.215	0.34	0.7275
"2084"	0.705	0.495	0.3925	0.9075
"2085"	0.71	0.245	0	0.64
"2086"	0.4575	0	0.2375	0.3925
"2087"	0.1025	0.1525	0.2925	0.085
"2088"	0.2925	0.07	0.4825	0.245
"2089"	0.3325	0.7475	0.1875	0.115
"2090"	0.4925	0.31	0	0.6475
"2091"	0.4675	0.1875	0.3325	0.425
"2092"	0.3925	0	0.1675	0.325
"2093"	0.2675	0.17	0	0.115
"2094"	0.505	0.1775	0.155	0.245
"2095"	0.435	0.045	0.3125	0.1475
"2096"	0.2575	0.1325	0.2	0.09
"2097"	0.265	0.1525	0.28	0.13
"2098"	0.3575	0.1775	0	0.27
"2099"	0.2375	0.295	0	0.09
"2100"	0.455	0.315	0.37	0.6725
"2101"	0.225	0.2475	0.2475	0.2725
"2102"	0.4125	0.0325	1	0.2775
"2103"	0.47	0.4525	0.3	0.4425
"2104"	0.3525	0.08	0.655	0.1725
"2105"	0.3075	0.425	0.195	0.1175
"2106"	0.22	0.0975	0	0.04
"2107"	0.38	0.24	0	0.28
"2108"	0.285	0.0325	0.5925	0.1325
"2109"	0.7425	0.08	0.5175	0.7925
"2110"	0.7825	0.7325	0.225	0.6875
"2111"	0.335	0.5125	0.31	0.1825
"2112"	0.37	0.2275	0.225	0.29
"2113"	0.2875	0	0	0.405
"2114"	0.745	0.065	0.395	0.815
"2115"	0.0225	0.04	0	0.025
"2116"	0.4425	0.7775	0.2925	0.6025
"2117"	0.725	0.3025	0.1025	0.91
"2118"	0.695	0.2	0.455	0.9775
"2119"	0.245	0.065	0	0.11
"2120"	0.2775	0.29	0	0.0825
"2121"	0.26	0.2075	0	0.195
"2122"	0.6525	0.3525	0.0675	0.745
"2123"	0.6375	0.135	0.43	0.8675
"2124"	0.805	0.2875	0.4475	0.985
"2125"	0.74	0	0.6125	0.8975
"2126"	0.2975	0	0.1375	0.2025
"2127"	0.905	0.3	0.3675	0.94
"2128"	0.7725	0.33	0.8675	0.66
"2129"	0.545	0.3375	0	0.505
"2130"	0.3625	0.5075	0.3025	0.085
"2131"	0.6125	0.4825	0	0.7
"2132"	0.3175	0.315	0.0475	0.36
"2133"	0.36	0	0.22	0.0775
"2134"	0.28	0.4625	0.91	0.1475
"2135"	0.38	0.2575	0.945	0.595
"2136"	0.7225	0	0.3625	0.805
"2137"	0.465	0.3	0.2825	0.6
"2138"	0.44	0.145	0	0.3625
"2139"	0.27	0.1	0.095	0.0525
"2140"	0.3325	0.5375	0.0475	0.1825
"2141"	0.725	0.0525	0	0.8725
"2142"	0.33	0.1725	0	0.3175
"2143"	0.385	0.27	0.185	0.4175
"2144"	0.54	1	0.25	0.295
"2145"	0.4025	0.27	0	0.2525
"2146"	0.8325	0.235	0.01	0.83
"2147"	0.6625	0.1975	1	0.99
"2148"	0.7775	0	0.41	0.9825
"2149"	0.5	0.1825	0.3275	0.21
"2150"	0.4075	0.2925	0.225	0.5275
"2151"	0.3925	0.325	0	0.0975
"2152"	0.0525	0.2475	0.225	0.0575
"2153"	0.155	0.0175	0.5	0.125
"2154"	0.545	0	0.2325	0.255
"2155"	0.5525	0.2475	0.1	0.61
"2156"	0.2825	0.21	0.08	0.085
"2157"	0.335	0.725	0.19	0.255
"2158"	0.68	0.6275	0.3225	0.6325
"2159"	0.3475	0.38	0.3275	0.1125
"2160"	0.35	0.205	0.29	0.1375
"2161"	0.5075	0.75	0	0.2975
"2162"	0.1825	0.395	0.1275	0.22
"2163"	0.7625	0.44	0.3625	0.8975
"2164"	0.2925	0.3175	0.195	0.12
"2165"	0.3875	0.44	0.5525	0.245
"2166"	0.715	0.455	0.955	0.54
"2167"	0.78	0.72	0.3625	0.9825
"2168"	0.815	0.3125	0.8725	0.8725
"2169"	0.3375	0	0.365	0.125
"2170"	0.51	0.66	0.365	0.5225
"2171"	0.745	0.3025	0.2575	0.925
"2172"	0.2425	0.1725	0.0975	0.095
"2173"	0.4825	0.05	0.825	0.56
"2174"	0.6025	0.29	0.3375	0.6025
"2175"	0.7175	0.29	0.5675	0.9025
"2176"	0.4975	0.195	0	0.665
"2177"	0.4575	0.635	0	0.4625
"2178"	0.6275	1	0.375	0.89
"2179"	0.3425	0	0.1675	0.07
"2180"	0.4	0	0	0.24
"2181"	0.5775	0.2125	0.27	0.7325
"2182"	0.4025	0.46	0.3075	0.2275
"2183"	0.6475	0.5	0.36	0.775
"2184"	0.535	0.3875	0.3175	0.52
"2185"	0.1975	0.6575	0.5325	0.245
"2186"	0.3975	0.2975	0.2725	0.25
"2187"	0.5825	0.3	0.38	0.8025
"2188"	0.855	0.825	0.995	0.9475
"2189"	0.315	0.805	1	0.1325
"2190"	0.565	0.4175	0.315	0.51
"2191"	0.135	0.215	0.415	0.15
"2192"	0.1275	0.0225	0	0.18
"2193"	0.38	0.2375	0.2075	0.2075
"2194"	0.755	0.45	0.6475	0.7
"2195"	0.765	0.15	0.43	0.9375
"2196"	0.5175	0	0.8225	0.5575
"2197"	0.625	0.2975	0.4675	0.7275
"2198"	0.145	0	0	0.1625
"2199"	0.15	0	0.35	0.095
"2200"	0.58	0	0	0.8825
"2201"	0.675	0.035	0.3925	0.7625
"2202"	0.3675	0.255	0.88	0.205
"2203"	0.315	0.2025	0.6375	0.1275
"2204"	0.2525	0.155	0.235	0.075
"2205"	0.4525	0	0.0925	0.235
"2206"	0.7525	0.3725	0.455	0.925
"2207"	0.425	0.11	0.1925	0.44
"2208"	0.85	0.2625	0.71	0.945
"2209"	0.545	0.3075	0	0.6125
"2210"	0.53	1	0.31	0.4725
"2211"	0.39	0.0125	0.9375	0.33
"2212"	0.2475	0.2275	0.095	0.0325
"2213"	0.53	0.305	0.2025	0.24
"2214"	0.4675	0.1325	0.205	0.4775
"2215"	0.24	0.2225	0.6275	0.2575
"2216"	0.4025	0.2325	0.3	0.3725
"2217"	0.3225	0	0.1575	0.2275
"2218"	0.3375	0.2075	0.1825	0.265
"2219"	0.315	0	0.2775	0.1575
"2220"	0.3425	0.225	0.2825	0.16
"2221"	0.4325	0.995	0.42	0.1425
"2222"	0.5125	0.01	0.2625	0.545
"2223"	0.385	0.325	0.0175	0.0775
"2224"	0.5025	0.26	0.1175	0.21
"2225"	0.255	0.195	0.17	0.1025
"2226"	0.4275	0.15	0.1925	0.285
"2227"	0.38	0.2875	0.2075	0.105
"2228"	0.3825	0.3425	0.0025	0.06
"2229"	0.0875	0.235	0.08	0.0525
"2230"	0.675	0.295	0.665	0.6225
"2231"	0.495	0.39	0.285	0.38
"2232"	0.63	0.745	0.6375	0.7325
"2233"	0.565	1	0.005	0.445
"2234"	0.765	0.475	0.2625	0.8325
"2235"	0.42	0.2975	0.465	0.2675
