"pip.1"	"pip.2"	"pip.3"	"pip.4"
"131"	0.2175	1	1	0.2175
"132"	0.355	0.215	1	0.1525
"133"	0.5775	0	1	0.4225
"134"	0.5675	0	1	0.8775
"135"	0.525	0.61	0.645	0.645
"136"	0.5175	0.22	0.415	0.35
"137"	0.48	1	0.385	0.41
"138"	0.34	0	0.1925	0.1575
"139"	0.655	0.1875	0.0075	0.86
"140"	0.38	0.39	0	0.2825
"141"	0.2025	0.285	0.0575	0.185
"142"	0.1875	0	0.0025	0.0375
"143"	0.475	0	0.235	0.185
"144"	0.6025	0.18	0.43	0.9125
"145"	0.305	0.195	0.2725	0.1375
"146"	0.5975	0	0.385	0.66
"147"	0.42	0.095	0.1875	0.2925
"148"	0.0275	0	0	0.0225
"149"	0.1125	0	0	0.07
"150"	0.46	0.205	0.26	0.2475
"151"	0.725	0.55	0.4675	0.9025
"152"	0.42	0.8625	0.2375	0.2025
"153"	0.36	1	0.245	0.2225
"154"	0.31	0.2375	0.9425	0.1125
"155"	0.795	0.1775	1	0.9875
"156"	0.58	0.57	0.13	0.63
"157"	0.665	0.1675	0.575	0.6575
"158"	0.255	0.0025	0.0425	0.1275
"159"	0.5875	0.3475	1	0.6125
"160"	0.285	0	0.3475	0.415
"161"	0.0625	0.1675	0.0025	0.055
"162"	0.335	0.0225	0	0.2475
"163"	0.805	0.7725	0.3225	0.9625
"164"	0.865	0.21	0.42	0.785
"165"	0.615	0.6025	0.2625	0.57
"166"	0.36	0.205	0.1625	0.29
"167"	0.27	0	0	0.0375
"168"	0.475	0.27	0.0975	0.415
"169"	0.3625	0	0.0725	0.32
"170"	0.37	0.3025	0.0475	0.21
"171"	0.29	0.0675	0.2525	0.3825
"172"	0.8425	0.39	0.98	0.7725
"173"	0.17	0.2925	0.1775	0.1675
"174"	0.2825	0.1625	0.93	0.17
"175"	0.97	0.145	0.34	0.9625
"176"	0.7975	0.525	0.5825	0.9725
"177"	0.805	0.6525	0.4425	0.97
"178"	0.4225	0.5375	0.3075	0.3875
"179"	0.8875	0	1	0.835
"180"	0.4225	0	1	0.2525
"181"	0.1225	0.48	0.31	0.06
"182"	0.3825	0.255	0.2725	0.23
"183"	0.53	0.255	0.325	0.535
"184"	0.545	0.025	0.3925	0.565
"185"	0.6175	0	0.265	0.605
"186"	0.7125	0.355	0.095	0.8375
"187"	0.7525	0.47	0	0.9075
"188"	0.535	0.285	0	0.8425
"189"	0.3075	0	0.2225	0.135
"190"	0.7125	0.325	0.5625	0.81
"191"	0.5625	0.395	1	0.595
"192"	0.4	0.18	0	0.1425
"193"	0.5175	0.3325	0.31	0.4525
"194"	0.9075	0.77	0.0175	0.8575
"195"	0.295	0.16	0.0125	0.1125
"196"	0.7675	0.9875	0.305	0.685
"197"	0.4225	0.2075	0.015	0.2875
"198"	0.21	0.2875	0.085	0.04
"199"	0.3525	0	0.315	0.1875
"200"	0.135	0.2425	0	0.1125
"201"	0.8425	0.3925	0.5325	0.9775
"202"	0.25	0.26	0.03	0.085
"203"	0.205	0.2375	0.2875	0.1775
"204"	0.7425	0.43	1	0.975
"205"	0.5075	0	0.4875	0.4925
"206"	0.645	0.13	0.7125	0.68
"207"	0.33	0.0325	0.3	0.44
"208"	0.765	0.5225	0.6525	0.9525
"209"	0.61	0.27	0.0475	0.6575
"210"	0.275	0.0125	0.02	0.3075
"211"	0.35	0.0025	0.0025	0.1875
"212"	0.26	0.04	0.6875	0.0825
"213"	0.4075	0.185	0.405	0.36
"214"	0.2825	0.02	0.2225	0.1125
"215"	0.5225	0.2275	0.145	0.5725
"216"	0.5825	0	0.325	0.4775
"217"	0.4475	0.4325	0	0.18
"218"	0.24	0.1275	0	0.075
"219"	0.645	0.5325	0.765	0.6925
"220"	0.895	0.2975	0.4225	0.91
"221"	0.72	0.2575	0	0.6025
"222"	0.08	0	0.26	0.08
"223"	0.375	0.8375	0.225	0.2625
"224"	0.3975	0.22	0	0.2675
"225"	0.25	0.6175	0.32	0.12
"226"	0.2375	0.1375	0.035	0.1025
"227"	0.1825	0.1025	0.13	0.075
"228"	0.2975	1	0.1775	0.1275
"229"	0.2325	0.205	0.0475	0.34
"230"	0.59	0.0175	0.05	0.3825
"231"	0.15	0.125	0.32	0.215
"232"	0.3325	0.225	0.24	0.1425
"233"	0.27	0.01	0	0.0625
"234"	0.29	0.7375	0.055	0.0825
"235"	0.7925	0.0525	1	0.645
"236"	0.1325	0.2275	0	0.0675
"237"	0.52	0.1575	0.3075	0.5775
"238"	0.4825	0.155	0.0925	0.4525
"239"	0.1125	0.165	0.3	0.0925
"240"	0.6525	0.0525	0.4325	0.44
"241"	0.2575	0	0.25	0.0775
"242"	0.6625	0.3375	0.4275	0.8625
"243"	0.555	0.44	0.995	0.54
"244"	0.5175	0.8575	0	0.41
"245"	0.3475	0.385	0.19	0.19
"246"	0.38	0	0.175	0.2775
"247"	0.39	0.1475	0.085	0.3075
"248"	0.83	0.3725	0.3525	0.945
"249"	0.86	0.3625	0.2425	0.9825
"250"	0.79	0.155	0.45	0.9525
"251"	0.445	0.2475	0.1175	0.3075
"252"	0.28	0.01	0.585	0.0825
"253"	0.4325	0.255	0.245	0.27
"254"	0.3025	0.185	0.0725	0.2175
"255"	0.305	0.03	0.01	0.34
"256"	0.46	0.2475	0.285	0.685
"257"	0.595	0.3775	0.015	0.5875
"258"	0.565	0.34	0.3125	0.4875
"259"	0.1675	0	0.265	0.1875
"260"	0.2675	0.1975	0.2175	0.315
"261"	0.38	0.145	0.265	0.2425
"262"	0.2125	0.5	0	0.115
"263"	0.42	0.525	0	0.3775
"264"	0.6975	0.355	1	0.91
"265"	0.0375	0.14	0.0325	0.035
"266"	0.2425	0	0	0.09
"267"	0.055	0.23	1	0.125
"268"	0.81	0.605	0.4925	0.9675
"269"	0.4825	0.1175	0	0.7175
"270"	0.74	0	0.46	0.885
"271"	0.26	0.2975	0.1225	0.0925
"272"	0.315	0	0	0.315
"273"	0.1475	0.375	0.0025	0.2125
"274"	0.5525	0.645	0.48	0.365
"275"	0.695	0.445	1	0.9325
"276"	0.495	0	0.44	0.3475
"277"	0.74	0.97	0.53	0.975
"278"	0.2575	0.2425	0.0075	0.07
"279"	0.32	0.195	0.1575	0.17
"280"	0.1725	0.23	0.2825	0.2175
"281"	0.5025	0.0475	0.3825	0.2725
"282"	0.6525	0.2075	0.52	0.7425
"283"	0.815	0.1525	0.025	0.9475
"284"	0.635	1	0.4625	0.6675
"285"	0.3275	0.3725	0.6225	0.215
"286"	0.895	0.285	0.095	0.8275
"287"	0.295	0	0.1925	0.215
"288"	0.62	0.315	0.335	0.67
"289"	0.2725	0	0.7825	0.105
"290"	0.2275	0	0.105	0.075
"291"	0.7925	0.325	0.27	0.9225
"292"	0.2875	1	0.2225	0.225
"293"	0.5075	0.8425	0.315	0.435
"294"	0.7975	0.3075	0.9775	0.7025
"295"	0.3475	0	0	0.295
"296"	0.435	0.185	0.05	0.2725
"297"	0.365	0.27	0.37	0.225
"298"	0.5825	0.64	0.365	0.6375
"299"	0.67	0.485	0	0.775
"300"	0.4275	0.32	0.2825	0.1925
"301"	0.73	0	0.2875	0.9825
"302"	0.515	0	0.91	0.6475
"303"	0.3725	0.2575	0.145	0.2875
"304"	0.1625	0.0025	0.17	0.125
"305"	0.505	0.275	0.2875	0.5675
"306"	0.42	0.3925	0.0525	0.205
"307"	0.2725	0.21	0.3	0.2775
"308"	0.49	0.3525	0.4175	0.2425
"309"	0.275	0	0	0.0575
"310"	0.3625	0.275	0.2375	0.2425
"311"	0.3	0.14	0	0.0075
"312"	0.3525	0.0675	0.0325	0.09
"313"	0.84	0	0	0.95
"314"	0.445	0.1225	0.5925	0.3575
"315"	0.2325	0.255	0	0.22
"316"	0.3375	0.145	0.2675	0.115
"317"	0.265	0	0.25	0.105
"318"	0.3175	0.095	0	0.2625
"319"	0.93	1	0.35	0.8875
"320"	0.59	0.3325	0.1875	0.6325
"321"	0.45	0.18	0.6825	0.3125
"322"	0.7825	0.3425	0.4325	0.98
"323"	0.535	0	0.5875	0.395
"324"	0.1475	0	0	0.015
"325"	0.1525	0.205	0	0.135
"326"	0.6525	0	0.3725	0.6825
"327"	0.625	0.2025	0.0275	0.395
"328"	0.4275	0.725	0.9975	0.0825
"329"	0.93	0.115	0	0.9175
"330"	0.365	1	0.2475	0.285
"331"	0.295	0.6075	0.3925	0.12
"332"	0.375	0.3	0.265	0.2675
"333"	0.4725	0	0.2275	0.37
"334"	0.605	0	0.3625	0.6625
"335"	0.3125	0	0.97	0.105
"336"	0.335	0.26	0.18	0.1175
"337"	0.2425	0.0625	0.1875	0.0625
"338"	0.08	0	0.1825	0.06
"339"	0.225	0.1975	0	0.345
"340"	0.5975	0.6875	0.315	0.8075
"341"	0.66	0	0.0175	0.775
"342"	0.74	0	0.43	0.95
"343"	0.7225	0.66	0.0625	0.75
"344"	0.0575	0.1625	0.0175	0.1025
"345"	0.395	0.2425	0.1575	0.3175
"346"	0.29	0.225	0.1975	0.145
"347"	0.92	0.395	0.4375	0.9875
"348"	0.57	0	0.7425	0.6225
"349"	0.285	0.2975	0.3775	0.1125
"350"	0.395	0.2625	0.3375	0.1325
"351"	0.57	0.115	0	0.58
"352"	0.4025	0.19	0.24	0.0925
"353"	0.6	0.3625	0.8125	0.7425
"354"	0.8175	0.3575	1	0.95
"355"	0.3175	0.2125	1	0.13
"356"	0.75	1	0.1075	0.965
"357"	0.16	0.63	0.5175	0.165
"358"	0.7625	0.09	0.19	0.89
"359"	0.59	0.605	0.3575	0.5675
"360"	0.285	0.32	0.375	0.0875
"361"	0.0675	0.2875	0.17	0.07
"362"	0.2675	0.175	0	0.0675
"363"	0.2975	0.2	0.2575	0.3325
"364"	0.6275	0.5025	0.435	0.4575
"365"	0.5525	0.665	0.3025	0.405
"366"	0.61	0.0575	0.6725	0.61
"367"	0.565	0.295	0.61	0.62
"368"	0.39	0	0.115	0.355
"369"	0.2125	0.01	0.305	0.1225
"370"	0.1725	0.2825	0.0725	0.08
"371"	0.1975	0.4075	0.1675	0.165
"372"	0.3175	0.3975	0.09	0.2275
"373"	0.715	0.01	0	0.7475
"374"	0.7425	0.435	0.91	0.94
"375"	0.7925	1	0.08	0.7975
"376"	0.44	0.29	0.4775	0.42
"377"	0.5975	0.8825	0.2775	0.655
"378"	0.3025	0.33	0	0.21
"379"	0.27	0.0725	0.4775	0.335
"380"	0.625	0.035	0.2875	0.345
"381"	0.2675	0	0.37	0.075
"382"	0.5625	0.65	1	0.8475
"383"	0.505	0.29	0.25	0.7725
"384"	0.47	0.52	0.2575	0.2375
"385"	0.56	0.1325	0.6	0.28
"386"	0.9625	1	0.815	0.965
"387"	0.3075	0.0125	0.3125	0.25
"388"	0.41	0.2575	0.4225	0.1075
"389"	0.6775	0.285	0	0.4275
