"b.1"	"b.2"
"1"	-3.76702718583628	24.4136462889459
"2"	-0.695286745411879	1.05628087630473
"3"	-0.722605461854356	1.05228907286614
"4"	-0.692920604941725	1.02030945192872
"5"	-0.741133355965263	1.09600811090189
"6"	-0.77083830166929	1.10794517534948
"7"	-0.6461872139489	0.912632867994323
"8"	-0.710979130541499	1.04321016315044
"9"	-0.751595284472269	1.09502853624188
"10"	-0.776845636351795	1.09066874361526
"11"	-0.747882003042335	0.99017567769547
"12"	-0.76931432893944	1.0493513292274
"13"	-0.641442339561094	0.921529559083855
"14"	-0.883406943499571	1.16729099695633
"15"	-0.750705674631864	1.0300769371611
"16"	-0.748334734787646	0.994375802449078
"17"	-0.581483913903621	0.762950020370491
"18"	-0.856185121282563	1.12217933444052
"19"	-0.820350023842165	1.05053711524342
"20"	-0.775261209226973	0.99915363419965
"21"	-0.70321498522675	0.911465386148479
"22"	-0.838536341117001	7.32657302361109
"23"	-0.158617964001463	-0.509140313974669
"24"	-0.176059606718319	-0.435778738489192
"25"	-0.148023036051004	-0.499790103947966
"26"	-0.00262012703018698	-0.647334923239429
"27"	-0.0314627615295309	-0.62763646248972
"28"	-0.00787121121426651	-0.664527101492619
"29"	-0.114528655427479	-0.549212942864793
"30"	-0.0395582466314342	-0.664801641791747
"31"	-0.132234396872126	-0.524634486977473
"32"	-0.0733012034813125	-0.585816993974903
"33"	-0.144775739497615	-0.510600064143628
"34"	-0.167189483677617	-0.454778103182239
"35"	-0.0103246126093404	-0.664129508240172
"36"	-0.0516168309519978	-0.59500264607002
"37"	-0.303922534425863	-0.284532813035894
"38"	-0.0966206387129646	-0.516923257431294
"39"	0.0158456300590721	-0.680476412186817
"40"	0.00646647103530414	-0.667515530792466
"41"	-0.0636329693306871	-0.535948729769849
"42"	-0.0136462254879265	-0.646538815252268
