"pip.1"	"pip.2"
"1"	0.75	0
"2"	0.45	0.3
"3"	0	0
"4"	1	0
"5"	1	0.25
"6"	1	0
"7"	1	0
"8"	0	0.1
"9"	0.4	0.1
"10"	0.35	0
"11"	1	1
"12"	0	0.55
"13"	0	0.05
"14"	0.65	0.1
"15"	0	0
"16"	0.15	1
"17"	0.1	0.15
"18"	0	0.3
"19"	0	0.3
"20"	1	0
"21"	0	1
"22"	0	0
"23"	0	1
"24"	0	0
"25"	0.9	0.35
"26"	0	0
"27"	0.05	0.15
"28"	1	1
"29"	0	0
"30"	0.55	0.15
"31"	0	0.1
"32"	0.55	0.25
"33"	0	0.75
"34"	1	0.3
"35"	1	0
"36"	0.7	0.2
"37"	0.8	1
"38"	0	0.9
"39"	0	0.15
"40"	1	0.05
"41"	0.2	0
"42"	0	0
"43"	1	1
"44"	0	0
"45"	0.45	0.6
"46"	0.75	0.25
"47"	0.75	0.2
"48"	0.55	0
"49"	0.55	0.3
"50"	1	0.4
"51"	1	0
"52"	0.75	0
"53"	1	0.1
"54"	0	0
"55"	1	0.6
"56"	0	0
"57"	1	0
"58"	0	0
"59"	0.65	0.2
"60"	0.4	1
"61"	1	0.85
"62"	0	0.2
"63"	0.75	0.25
"64"	1	0.45
"65"	1	1
"66"	0	0
"67"	0	1
"68"	0.25	0.5
"69"	0	0.25
"70"	0.35	1
"71"	1	0
"72"	0.2	1
"73"	1	0
"74"	0.75	0
"75"	1	0.15
"76"	1	1
"77"	0	1
"78"	0.55	0.1
"79"	0	0.15
"80"	0.3	0
"81"	0	0.35
"82"	0	1
"83"	0.75	0.15
"84"	1	0
"85"	0	0
"86"	1	0.3
"87"	0	0
"88"	0.4	1
"89"	0.05	0
"90"	0	1
"91"	1	0
"92"	1	0.35
"93"	0	0
"94"	1	0.25
"95"	0	0
"96"	1	0
"97"	1	1
"98"	0.05	0
"99"	0.8	0.6
"100"	0	0
"101"	0.5	1
"102"	0	0.15
"103"	1	0
"104"	0.6	0.05
"105"	0	0.6
"106"	0.45	0.1
"107"	1	0.15
"108"	0	0
"109"	0.7	0
"110"	1	0.45
"111"	1	0
"112"	0	0.2
"113"	1	0
"114"	1	0.3
"115"	0.3	0.3
"116"	0.95	0.25
"117"	0	0.05
"118"	1	0
"119"	0.85	1
"120"	0.6	1
"121"	0	0.4
"122"	0.55	0.5
"123"	1	1
"124"	0.7	0
"125"	0.8	1
"126"	0.55	0
"127"	1	0.35
"128"	1	0
"129"	1	0.2
"130"	1	0.15
"131"	1	1
"132"	0.6	0
"133"	0.6	0
"134"	0.65	1
"135"	0	0.1
"136"	1	0
"137"	0	1
"138"	0.7	1
"139"	1	0
"140"	0	0.05
"141"	0.55	0
"142"	0.6	0
"143"	1	0.3
"144"	1	0
"145"	0.5	0.35
"146"	0.3	1
"147"	0	0
"148"	0.7	0
"149"	0.5	0
"150"	0	1
"151"	0.2	0.25
"152"	0.55	0
"153"	1	0.3
"154"	0.45	0.05
"155"	0.35	1
"156"	0.7	0.2
"157"	1	0.3
"158"	0.35	0.05
"159"	0.6	0
"160"	0.45	0
"161"	0	0.3
"162"	1	0.4
"163"	0.35	0.3
"164"	1	1
"165"	0.5	0
"166"	0.7	0.25
"167"	0.65	0
"168"	0.45	0
"169"	0.65	1
"170"	0.45	0
"171"	1	0
"172"	0.25	0
"173"	1	0
"174"	0	0
"175"	0	0.05
"176"	0.4	0.4
"177"	0.2	0
"178"	0	1
"179"	0.35	0
"180"	0.6	0
"181"	0	0
"182"	0.8	1
"183"	0.4	0.6
"184"	0.55	0.1
"185"	0	0.3
"186"	0.3	0.1
"187"	0.4	0
"188"	0.2	0.35
"189"	0	0
"190"	0.2	0.05
"191"	0	0.1
"192"	1	0.2
"193"	0	1
"194"	1	0
"195"	1	0.25
"196"	0.45	0
"197"	1	1
"198"	0.5	0
"199"	0	0
"200"	0	0.35
"201"	1	0.05
"202"	0.65	0
"203"	0	0.2
"204"	0	0.6
"205"	0.45	0.35
"206"	1	0.5
"207"	0	0
"208"	0.55	0.25
"209"	0	0
"210"	0	0
"211"	1	0
"212"	0	0
"213"	1	0
"214"	0	0
"215"	0.45	1
"216"	0	1
"217"	0.65	0.35
"218"	0.55	1
"219"	1	0.45
"220"	0.2	0
"221"	0.75	0.7
"222"	0.65	0.15
"223"	1	1
"224"	0.55	1
"225"	0.9	0.3
"226"	0.65	0.15
"227"	0.85	0
"228"	0.5	1
"229"	0.65	0.2
"230"	0.5	0.15
"231"	0.8	0
"232"	1	0.05
"233"	1	0.2
"234"	0.55	0
"235"	0.35	0
"236"	0	0.4
"237"	0.55	1
"238"	0	0
"239"	0	0
"240"	0	0.45
"241"	1	0
"242"	0	0.05
"243"	0	0
"244"	0.5	0.45
"245"	0.6	0
"246"	1	0
"247"	0	1
"248"	0.85	0.4
"249"	0.65	1
"250"	0.65	0
"251"	0	0.1
"252"	1	0.05
"253"	0.4	0
"254"	0	1
"255"	1	0
"256"	1	0.05
"257"	0.95	0.95
"258"	1	0.05
"259"	0	0.15
"260"	0	0
"261"	0.65	0.4
"262"	0.55	1
"263"	0.8	0
"264"	1	0.4
"265"	1	0.3
"266"	1	0
"267"	1	0
"268"	1	0.35
"269"	1	0.45
"270"	0	0.05
"271"	0.55	0.15
"272"	0.65	0.95
"273"	1	0.15
"274"	0.5	0
"275"	0.5	0
"276"	0.6	0
"277"	0.35	0.35
"278"	0.65	0
"279"	0.15	0
"280"	0	1
"281"	1	0.25
"282"	0.55	0.3
"283"	0.55	0
"284"	0.4	1
"285"	1	0.25
"286"	0	0
"287"	1	0.45
"288"	0	0
"289"	0.65	0
