"beta.1"	"beta.2"	"beta.3"	"beta.4"	"beta.5"	"beta.6"	"beta.7"	"beta.8"	"beta.9"	"beta.10"	"beta.11"	"beta.12"	"beta.13"	"beta.14"	"beta.15"	"beta.16"	"beta.17"	"beta.18"	"beta.19"	"beta.20"	"beta.21"	"beta.22"	"beta.23"	"beta.24"	"beta.25"	"beta.26"	"beta.27"	"beta.28"	"beta.29"	"beta.30"	"beta.31"	"beta.32"	"beta.33"	"beta.34"	"beta.35"	"beta.36"	"beta.37"	"beta.38"	"beta.39"	"beta.40"	"beta.41"	"beta.42"	"beta.43"	"beta.44"	"beta.45"	"beta.46"	"beta.47"	"beta.48"	"beta.49"	"beta.50"
"1"	-3.26233360705649	13.297992629225	12.724293214294	4.14641434456408	-15.3995004190371	-9.28567034713538	-2.9472044679056	-0.0576717274753696	24.0465338885795	7.6359346114046	-7.99009248989368	-11.4765700923635	-2.89461573688223	-2.99215117897316	-4.11510832795067	2.52223448156132	-8.91921127284569	4.35683299355719	-12.3753842192996	-2.24267885278309	3.77395645981701	1.33336360814841	8.04189509744908	-0.571067743838088	5.03607972233726	10.8576936214569	-6.9095383969683	-12.8459935387219	0.46726172188352	-2.35706556439501	-5.42888255010254	-4.33310317456782	-6.49471646796233	7.26750747385451	11.519117540872	9.92160365445798	-4.29513109491881	12.3830410085338	-2.79346281854269	17.5790308981071	5.60746090888056	-4.52783972553158	-8.32043296117832	-11.6657054708471	-10.655905803883	-15.63782051071	11.5653699715018	8.3204712857239	-2.27328691424755	2.66137361672105
"2"	-4.06740085361314	7.43136008192164	2.18956559155453	4.80707746565314	-4.18882178836091	-2.80669914964249	-0.340762437257507	1.20738701185738	7.13917235631122	2.99213808574779	-3.44886679915118	-4.21123879562038	-1.70159716861683	-2.77328637396938	-2.21739722241815	2.71681331784026	-4.84056975277478	3.88556199468717	-4.04748815945109	-1.39676866125326	-0.0668203167834147	-1.31045055960977	4.57849193288688	0.316022533727109	-1.69122473205368	2.75563638852571	-3.01377522789384	-4.29876168804463	-0.388646818883385	-3.40296831859154	-3.27560565877563	0.365599006726466	-0.198562861494998	2.62972719831701	4.30198119114378	2.0634820693574	-0.973582423843443	5.027777455555	-0.701909728672429	4.9933577869832	0.85206158172865	-0.574351268421146	-3.09986250241188	-3.21777553433983	-2.66068270227715	-4.68521618636546	4.77866655279618	2.94776697770464	-0.856368574225188	-1.03860094827233
"3"	-4.0032735870222	7.28660869363577	1.74831860907787	5.05936840766789	-3.82822799399057	-2.65788252103806	-0.364951555355298	1.2169180805743	6.85553948708152	3.16873950044673	-3.24060292649065	-4.06254775803923	-1.2725851008388	-2.6824846163035	-1.94814909002665	2.66142684563853	-4.71806338569717	3.88117568820725	-3.86975535399243	-1.59703165659858	-0.000201340799060559	-1.43852467195659	4.42011967858982	0.56151420300835	-1.59722213909827	2.57795739913782	-3.1254031565745	-4.02437408480505	-0.309224721596993	-3.24918181323653	-3.40523414351297	0.713073223362787	0.0589102844083928	2.42457971358584	4.1183619943138	2.21182817109789	-1.04990564053886	4.93598792342924	-0.687565679883454	4.87908203773796	0.868024001228279	-0.671674739375057	-3.1946642847665	-2.90127832497679	-2.32304623051189	-4.80911726570401	4.58435224865205	2.6395677903105	-0.913511110283572	-1.14154894711689
"4"	-3.76616339111353	7.18621171784737	1.87329910105855	4.92223826932555	-4.24623329581612	-2.47143378738635	-0.224948192571021	1.14733594086441	6.59733466271232	2.91040050490091	-3.03044304700244	-3.78877604361844	-1.29505637700066	-2.78304670577067	-1.76717384331247	2.4802631954831	-4.44488281838293	3.86454520983487	-3.66678688780611	-1.53142242718919	-0.301978847153957	-1.17924655032045	4.35529858185569	0.656983782086335	-1.82315113372403	2.62151819228858	-3.11634139294926	-3.84663358684916	-0.462592756914673	-3.30448504598428	-3.01864646668017	0.725454031708717	0.27806681234485	2.19966259018148	4.1353041749588	1.9674678275143	-0.801689534183025	4.70416759651498	-0.644967603765144	4.83396950017145	0.92347323619715	-0.684394770043292	-2.93917168352411	-2.97924533103832	-2.15966723722925	-4.55654399984662	4.53030950283085	2.76876779193398	-0.7895388545718	-1.47144292774888
"5"	-3.41737175646494	6.75451939618615	2.00186065442742	4.69218060615179	-4.05284260292726	-2.56989110496095	-0.212926498430677	0.992727122973725	6.56979192852534	3.0588574696581	-2.88590933582235	-3.90475715846458	-1.46288470889334	-2.8492160659336	-1.75455824909607	2.40420970551248	-4.45330213156857	3.57102777481844	-3.44872910477875	-1.42221939943069	-0.0540583632102764	-1.30783855500624	4.28449208293329	0.641046347945093	-1.73099359805167	2.46786724300307	-3.02268586474408	-3.60149759165673	-0.598546566883837	-3.11894989533068	-3.22055568771341	0.723835564804673	0.306307606903348	2.25350297102889	3.75680858113711	1.98653581099918	-0.93716602764251	4.60784626425269	-0.748601354496043	4.53486943496685	0.794015949850787	-0.656058683444413	-2.84717550078965	-3.01406522101549	-2.05635795160055	-4.90004628753499	4.6425292812349	2.66495110014147	-0.65788276970533	-1.32732261496367
"6"	-3.03564910040059	6.47680072864444	2.05417497699816	4.22664854389691	-4.21487652520027	-2.64586653250307	-0.366929623546608	0.90613194456031	6.48074884202852	2.93883236141456	-3.04338165377325	-3.84897074257721	-1.19706230402781	-2.57247268281589	-1.67805594781869	2.50002869050226	-4.46824499716081	3.47596495022255	-2.94268619532057	-1.29206401146576	-0.174568772658874	-1.13349510000844	4.64014029966807	0.624121816116547	-1.50517652039662	2.07747092584307	-2.922990015375	-3.70037694853634	-0.606125920611074	-3.40235135026017	-3.29471291140252	0.487112219283824	0.593476576838754	2.14755335896995	3.73566453951933	1.92564790711435	-0.784170419222634	4.41408311817003	-0.624579059415306	4.19779175111765	0.615518804184671	-0.629621911044145	-2.72469381730912	-2.65280605868693	-2.06134421776304	-4.43557757594147	4.33964381875847	2.62133501642519	-0.672866247631701	-1.37704614289813
"7"	-6.59497648033298	4.75562383912244	-10.8391362697221	-13.5915772390656	-6.35049882156576	3.40258439207627	14.5332314145929	-0.240574217785743	11.6758489437429	15.7248740249392	-4.45270242904529	12.1066786409617	7.6616266145203	-1.70718406321337	-21.8878692584293	9.8224639233288	20.6825663580947	3.83601891205152	4.1727610574749	9.45470397221016	4.1556066725999	3.26818885187556	6.24579998436217	10.6499001388578	-20.7374512475596	-2.9048855022532	-7.33639665372785	11.1411319493922	-1.07917234079093	-10.2122980222135	-7.80118846491077	6.13233703843046	2.00837532271306	-5.13974588650843	3.34299828563353	21.0719249606882	-5.670606924487	-1.82419239101149	-1.10973291801855	9.74996834668103	-14.6540594602015	3.70550266113916	-15.752024011353	0.224640639532451	0.204659873116357	-8.89363249180663	7.06796606927189	2.42209247063156	3.27014742801438	0.946942018182229
"8"	-3.46368698846399	7.39330392749322	-5.20077486018303	-1.13251097035599	0.482129847954619	1.80308210947859	2.07076407499441	0.966793579607081	5.50144458549438	6.21176749853968	-2.42974820978759	5.80768163006545	2.4188225047227	4.54512383188407	-6.05734767628651	-2.55825465746228	4.61631513911306	1.51288567999944	0.317611932023413	4.1587068577562	2.23826882422181	-1.820344271933	4.83809391080374	3.52845221410307	-7.72847993998893	-2.58293159622297	-3.27315115250316	3.31977316532135	-0.352941338668369	-3.05927073667505	-1.6816061968644	1.7460675391476	2.87157765922681	-1.26635307323491	-2.6609969093638	8.86378961876503	-0.78952646077862	0.377218064194308	-1.5439969122265	3.00098955059571	-1.85639413719456	4.26065050549239	-0.160248183291826	1.5545822544548	1.12727197349473	-0.86359095079082	0.401511524221312	2.28474224187792	3.66025482257984	2.08550584357876
"9"	-3.86975734070748	6.8344006400137	-4.93169521476699	-0.360001592999082	1.12981274021296	1.3985529127455	2.05999016938319	0.979069596855295	6.12422802089918	6.20570117177266	-3.2554814514966	6.3828799461417	2.01161613215789	4.36960175010831	-6.13637236609121	-2.3608719455613	4.45855615078689	1.2796839118064	-0.974763756089335	3.04469106362538	2.24822657045217	-1.6147894014361	3.5880678187082	3.56559573563976	-6.08209898131101	-1.35216286559084	-2.93320425991056	3.62144133293953	-0.187449453907692	-3.21578344961378	-2.15643038139834	1.54478070341307	3.28284131733284	-0.811151937033555	-2.85638168375524	8.56252991301609	-1.21774226952222	1.00806219321593	-0.895691669710019	1.82792110588041	-1.52793908876202	3.84667795009841	-0.259747380555426	1.73996280601345	1.90960135107111	-0.750278082617047	0.137481321976773	2.49645626081311	3.50087331004385	1.68769284126251
"10"	-3.45939521697041	6.37055927131472	-4.46878183462199	-0.0186723543671512	1.82972788813465	1.17553659094491	2.02421890975894	0.451273943739319	5.41391014629735	5.81759534317716	-3.41667880448291	6.75132688821808	1.56822978484456	4.22511140351813	-5.67449789453435	-2.67102155039358	4.26732068627551	2.05504616295346	-0.33966787769472	2.62749721772552	1.84088990847951	-1.93824599284806	3.7449512347243	4.04729427926078	-5.84830021916227	-0.898450119537031	-2.85339639563637	2.51940916017535	0.479648728619296	-2.53977687520801	-2.13864590967629	1.38563028528022	3.73190641127479	-0.608310786789784	-3.00539710134058	7.22609157533746	-1.131429608634	0.805989198618881	-0.429792645427008	0.926146412898215	-1.2996780516777	4.0818185973231	0.335976574815282	0.987946025848874	2.0170557981447	-0.294039207462457	0.604443638648396	1.99224854837581	4.27478624197796	1.56488564101336
