"pip.1"	"pip.2"
"1"	0.36	0.18
"2"	0.38	0.18
"3"	0.34	0.56
"4"	0.8	0.4
"5"	0.4	0.16
"6"	0.46	0.46
"7"	0.32	0.04
"8"	0.28	0.1
"9"	0.38	0.2
"10"	0.56	0.72
"11"	0.88	0.46
"12"	0.02	0.08
"13"	0.84	0.38
"14"	0.46	0.14
"15"	0.48	0.34
"16"	0.52	0.38
"17"	0.76	0.4
"18"	0.06	0.04
"19"	0.12	0.54
"20"	0.72	0.54
"21"	0.06	0.04
"22"	0.22	0.22
"23"	0	0
"24"	0.7	0.96
"25"	0.28	0.36
"26"	0.32	0.02
"27"	0.48	0.24
"28"	0.88	0.78
"29"	0.04	0.06
"30"	0.48	0.14
"31"	0.36	0.1
"32"	0.62	0.84
"33"	0.28	0.2
"34"	0.4	0.4
"35"	0.82	0.2
"36"	0.08	0.1
"37"	0.54	0.44
"38"	0.26	0.68
"39"	0.16	0.6
"40"	0.34	0.66
"41"	0.32	0.2
"42"	0.32	0.4
"43"	0.98	0.86
"44"	0.54	0.96
"45"	0.68	0.92
"46"	0.3	0.08
"47"	0.36	0.14
"48"	0.7	0.76
"49"	0.36	0.14
"50"	0.52	0.48
"51"	0.48	0.12
"52"	0.42	0.38
"53"	0.12	0.02
"54"	0.38	0.46
"55"	0.54	0.78
"56"	0.4	0.22
"57"	0.44	0.14
"58"	0.6	0.9
"59"	0.38	0.2
"60"	0.36	0.48
"61"	0.92	0.54
"62"	0.24	0.32
"63"	0.5	0.34
"64"	0.36	0.24
"65"	0.28	0.14
"66"	0.46	0.42
"67"	0.3	0.56
"68"	0.56	1
"69"	0.62	0.98
"70"	0.4	0.7
"71"	0.58	0.64
"72"	0.68	0.96
"73"	0.9	0.38
"74"	0.4	0.3
"75"	0.38	0.06
"76"	0.5	0.12
"77"	0.2	0.98
"78"	0.4	0.5
"79"	0	0.04
"80"	0.22	0.04
"81"	0.02	0.04
"82"	0.4	0.22
"83"	0.32	0.22
"84"	0.5	0.56
"85"	0.22	0.18
"86"	0.8	0.28
"87"	0.36	0.28
"88"	0.68	0.86
"89"	0.38	0.44
"90"	0.18	0.6
"91"	0.62	0.42
"92"	0.6	0.68
"93"	0.32	0.1
"94"	0.42	0.16
"95"	0.18	0.08
"96"	0.66	0.76
"97"	0.86	0.2
"98"	0.58	0.64
"99"	0.26	0.08
"100"	0.62	0.72
"101"	0.34	0.12
"102"	0.16	0.5
"103"	0.76	0.48
"104"	0.46	0.32
"105"	0.54	0.66
"106"	0.38	0.22
"107"	0.58	0.42
"108"	0.28	0.46
"109"	0.32	0.06
"110"	0.34	0.14
"111"	0.8	0.22
"112"	0.14	0.12
"113"	0.64	0.16
"114"	0.48	0.12
"115"	0.3	0.12
"116"	0.32	0.18
"117"	0	0.14
"118"	0.36	0.3
"119"	0.22	0.36
"120"	0.44	0.7
"121"	0.1	0.1
"122"	0.54	0.6
"123"	0.88	0.34
"124"	0.44	0.5
"125"	0.34	0.06
"126"	0.4	0
"127"	0.34	0.1
"128"	0.92	0.48
"129"	0.5	0.54
"130"	0.4	0.14
