"pip.1"	"pip.2"
"1"	1	0
"2"	0.7	0
"3"	0	0
"4"	1	0
"5"	1	1
"6"	1	0.3
"7"	1	0
"8"	0	0
"9"	0.8	0
"10"	0.3	0.1
"11"	1	0
"12"	0	1
"13"	0	0
"14"	1	1
"15"	0	0
"16"	0	0.4
"17"	0	0.2
"18"	0	0
"19"	0	0
"20"	1	0
"21"	0	0
"22"	0	0
"23"	0	0
"24"	0	0
"25"	1	0
"26"	0	0
"27"	0	1
"28"	1	0
"29"	0	0
"30"	1	1
"31"	0	0
"32"	0.7	0
"33"	0	0.4
"34"	1	0.5
"35"	1	1
"36"	1	0
"37"	1	0
"38"	0	1
"39"	0	1
"40"	1	0
"41"	0	0.1
"42"	0.1	0.3
"43"	0.5	0
"44"	0	1
"45"	0.3	0
"46"	0	0
"47"	1	0
"48"	0.3	0
"49"	0	0
"50"	1	1
"51"	1	0
"52"	1	0.1
"53"	1	0
"54"	0	1
"55"	1	1
"56"	0	0
"57"	1	0
"58"	0	1
"59"	1	0.1
"60"	1	0
"61"	1	1
"62"	0	0
"63"	0.7	1
"64"	1	0
"65"	1	0.1
"66"	0	0
"67"	0	0
"68"	0	0.3
"69"	0	0
"70"	0.1	0.1
"71"	1	0
"72"	0	1
"73"	1	0
"74"	1	0
"75"	1	0
"76"	1	0.2
"77"	0	0
"78"	0.7	1
"79"	0	0
"80"	0	1
"81"	0	0
"82"	0	0
"83"	0.6	0
"84"	1	1
"85"	0	1
"86"	1	0
"87"	0	0.8
"88"	0	0
"89"	0.2	0.1
"90"	0	0.1
"91"	1	0
"92"	1	0
"93"	0	0
"94"	1	0
"95"	0	0
"96"	1	0.2
"97"	1	0.1
"98"	0	0
"99"	1	0
"100"	0	0
"101"	0.6	0
"102"	0	0.2
"103"	1	1
"104"	1	0
"105"	0	0
"106"	0.8	1
"107"	1	0.2
"108"	0	1
"109"	0.6	0.4
"110"	1	0.1
"111"	1	1
"112"	0	0
"113"	1	0
"114"	1	0.3
"115"	0	1
"116"	0.9	0
"117"	0	0.1
"118"	1	0
"119"	0.5	0
"120"	0.6	0.1
"121"	0	0.1
"122"	0.6	1
"123"	1	0
"124"	1	0
"125"	0.8	0.1
"126"	0.5	0
"127"	1	0
"128"	1	0.1
"129"	1	0
"130"	1	0.1
"131"	1	0
"132"	1	1
"133"	1	1
"134"	1	0.4
"135"	0	0
"136"	1	0
"137"	0	0.2
"138"	1	0
"139"	1	0
"140"	0	0
"141"	0.4	0
"142"	0.9	0
"143"	1	0
"144"	1	0
"145"	0.5	0
"146"	0	0.6
"147"	0.5	0.1
"148"	0.3	0
"149"	0.6	0
"150"	0	1
"151"	0.6	0
"152"	0.8	1
"153"	1	0
"154"	0.3	0
"155"	0	0
"156"	0	0
"157"	0.3	1
"158"	0	0
"159"	0.7	1
"160"	0.3	0.6
"161"	0	0.1
"162"	1	0.1
"163"	0.3	1
"164"	1	1
"165"	1	0
"166"	0.8	0
"167"	0.7	0
"168"	0.8	0
"169"	0.2	0
"170"	0.3	0
"171"	1	0.6
"172"	0	1
"173"	1	0
"174"	0	1
"175"	0	0
"176"	0.4	1
"177"	0	0.1
"178"	0.1	0.2
"179"	0	0
"180"	0.8	0
"181"	0	0
"182"	1	0.1
"183"	0.4	1
"184"	0	1
"185"	0	0
"186"	0	0
"187"	0.6	0
"188"	0	0
"189"	0	0
"190"	0	0
"191"	0	0
"192"	1	0.2
"193"	0	0.2
"194"	1	1
"195"	1	1
"196"	0.4	0.1
"197"	1	0
"198"	0.2	0.2
"199"	0	0
"200"	0	0
"201"	1	0
