"beta.1"	"beta.2"	"beta.3"	"beta.4"	"beta.5"	"beta.6"	"beta.7"	"beta.8"	"beta.9"	"beta.10"	"beta.11"	"beta.12"	"beta.13"	"beta.14"	"beta.15"	"beta.16"	"beta.17"	"beta.18"	"beta.19"	"beta.20"	"beta.21"	"beta.22"	"beta.23"	"beta.24"	"beta.25"	"beta.26"	"beta.27"	"beta.28"	"beta.29"	"beta.30"	"beta.31"	"beta.32"	"beta.33"	"beta.34"	"beta.35"	"beta.36"	"beta.37"	"beta.38"	"beta.39"	"beta.40"	"beta.41"	"beta.42"	"beta.43"	"beta.44"	"beta.45"	"beta.46"	"beta.47"	"beta.48"	"beta.49"	"beta.50"
"1"	-3.26233360705649	13.297992629225	12.724293214294	4.14641434456408	-15.3995004190371	-9.28567034713538	-2.9472044679056	-0.0576717274753696	24.0465338885795	7.6359346114046	-7.99009248989368	-11.4765700923635	-2.89461573688223	-2.99215117897316	-4.11510832795067	2.52223448156132	-8.91921127284569	4.35683299355719	-12.3753842192996	-2.24267885278309	3.77395645981701	1.33336360814841	8.04189509744908	-0.571067743838088	5.03607972233726	10.8576936214569	-6.9095383969683	-12.8459935387219	0.46726172188352	-2.35706556439501	-5.42888255010254	-4.33310317456782	-6.49471646796233	7.26750747385451	11.519117540872	9.92160365445798	-4.29513109491881	12.3830410085338	-2.79346281854269	17.5790308981071	5.60746090888056	-4.52783972553158	-8.32043296117832	-11.6657054708471	-10.655905803883	-15.63782051071	11.5653699715018	8.3204712857239	-2.27328691424755	2.66137361672105
"2"	-3.09803176809922	6.24504557171588	1.96427757262907	3.94113152482288	-4.33195046163583	-2.62754168722857	-0.326361106671179	0.848328289615637	6.34179853066547	3.14537506373186	-2.73144543682889	-3.82423513919143	-1.3084631578303	-2.57622666898693	-1.42207500745869	2.45493529874528	-4.4722452051035	3.46574475628175	-3.10511512760194	-1.16175561882882	0.0326483885479983	-0.95750764508209	4.84358073511622	0.693038660374529	-1.56223727217638	1.94697682692955	-3.05035349078913	-3.44567685320677	-0.673742383179571	-3.22671840055949	-3.20370485566632	0.259444530137439	0.715858243351383	2.23688824680762	3.73556389843634	2.12743993920955	-0.633765248321811	4.05616472399749	-0.436964705444274	4.13962710940134	0.515842817495858	-0.799506765718329	-2.58324418157125	-2.56061830145301	-2.21582631673404	-4.28377247760966	4.06469664376891	2.67081268616586	-0.595540516399658	-1.05723352439165
"3"	-2.81057533836941	6.19101898346699	1.73089082045029	3.64481344846696	-3.90322220952603	-2.5454509511065	-0.0287643722194485	1.1409796162019	6.26984905079421	2.88239672631643	-2.9890652339318	-3.70573604715088	-1.482545892379	-2.3783873495304	-1.39071664039762	2.2967927029148	-4.51842712443883	3.19565960727899	-3.26421783034066	-1.13770251371045	0.203012836054067	-0.871019401613785	4.6036618776112	0.776978624120441	-1.73978327344027	2.17930226380217	-2.32851763340348	-3.18820149468107	-0.755501882362101	-3.18444773023567	-3.15566763998935	0.308941640013121	0.787098650342631	2.12772813157725	3.62831673309507	1.94444380908285	-0.597535921567084	3.84735572984035	-0.574624438049699	4.20630829338213	0.417820886992001	-0.740243317988769	-2.58977375401617	-2.37837668320284	-2.1364811852983	-4.07120177480766	3.78242984129068	2.51784962149114	-0.786007326511402	-0.653825909845905
"4"	-3.00046975629381	6.36066848156118	1.58311658547083	3.4072618140791	-3.63101232933272	-2.33634128661288	-0.212843411147336	0.946507222037513	6.01250519283852	2.83605259432799	-2.89418908090074	-3.37435142824366	-1.462991991556	-2.20563837001389	-1.17520450491933	2.46257046337501	-4.1525623969	3.19687222149245	-3.15512044291687	-1.29282433074845	-0.0799823941600589	-0.715007221230242	4.28972682982036	0.42206698368894	-1.86276114990071	2.00541646246966	-2.09543256408377	-3.40619989842588	-0.63824369223067	-3.05284407634521	-2.88981654231455	0.323391116813675	0.650420486690791	1.82851239736478	3.34128262275589	2.13422872356694	-0.673702643771796	3.61401169995146	-0.76138719742965	4.26403210217135	0.387745083854497	-0.643195631606542	-2.41348410263832	-2.12897804255644	-2.12076043913828	-4.04147348514584	3.70442575680946	2.41634512277415	-0.888588502620473	-0.930443510561945
"5"	-2.87932890015214	5.97082016408305	1.60685782648874	3.68626960959619	-3.69625410429515	-2.28407442398479	-0.0996800286555741	0.908268869197725	5.57342481439536	3.02067014583235	-2.32445855660232	-3.26086290301774	-1.13047521064469	-2.34226852212067	-1.09194272920956	2.29234976092197	-3.75809253503769	3.11952003378766	-2.86193867646879	-1.00922570124045	-0.122023942121522	-0.69908131367767	4.52381192310239	0.845174795639466	-1.96759460753572	2.0251309474565	-2.52230112068113	-3.1176461783397	-0.569847819202359	-2.95026774008641	-2.61915179083035	0.424114808220978	0.653068533330788	1.77810515019572	3.16582011017846	2.02541670143241	-0.611438423803207	3.52457297604256	-0.44521032321415	3.85958753171845	0.323076603792961	-0.912276349330257	-2.72060387804546	-1.93750662604808	-2.0377319288867	-4.12869143491986	3.43344714331536	2.31505719973048	-0.860893278242402	-0.87489811352645
"6"	-2.9439122889741	5.70803078277339	1.38450249903033	3.57018966104149	-3.09638516242704	-2.21257523870215	0.125359583488415	0.715541506852319	5.72443598353384	2.8214118949648	-2.3111785558574	-3.22485689279183	-1.02234393235494	-2.12322975464422	-1.02263313929445	2.39409140030115	-3.68942442616028	2.94790700384275	-2.81892642463378	-0.986922041525236	-0.266888130725683	-0.817038179251835	4.17917988093502	0.833593191823658	-2.0383486982432	2.18610661635106	-2.21276817049227	-2.99387612960805	-0.501855947612778	-3.0120063968337	-2.36499764512759	0.286637569829976	0.655501910782813	1.78970722547637	2.93155010802447	1.97330577007582	-0.66847412862637	3.49433921387164	-0.565789996903614	3.71678235234309	0.219911379793812	-0.978314616607687	-2.81974871417587	-2.03769341550948	-1.89737654620225	-3.94933453973814	3.69935778220349	2.26040156931659	-0.997416220984556	-0.888839245289442
"7"	-2.7890751819209	5.62266703767917	1.0711557392131	3.61890286164243	-3.18924477253084	-2.22429256863503	-0.0798150218859209	0.606733776682273	5.5981498450288	2.60680106046523	-2.22136435554259	-3.06323708437541	-0.965976713136635	-2.0343468566891	-0.788083077012144	2.26272427904602	-3.53020511707001	2.94010980180236	-2.64742088788135	-0.816949698187065	-0.2369169467278	-0.829740648485668	3.80350913418112	0.805282505293591	-2.03859171085959	2.05091828967405	-2.52852168102986	-2.9591543288763	-0.420094362848037	-2.80511805151446	-2.38578462993357	0.257726259079912	0.513878007177344	1.78102727612655	2.76026263592608	1.81486473697234	-0.604659792514767	3.5618674946752	-0.698471234112254	3.74430329406394	0.177758959089463	-1.08153181073799	-2.75127384110454	-2.06151317532654	-2.04980133377993	-4.06828126963416	3.54383986526901	2.14686435083699	-0.888282120130337	-1.10847909249241
"8"	-3.1114398706384	5.70830532576712	0.97574496975144	3.60239845335019	-3.28835785349213	-2.12003633786782	-0.0532406245399336	0.794610437242617	5.25872858861507	2.47869001042179	-2.2130389597346	-2.77115450299921	-0.92580663946209	-2.12358209498442	-0.864235817298387	2.26031574145054	-3.38429940704009	2.81292668173762	-2.80924315047952	-1.15931761624331	-0.381255338266444	-0.696581455256773	4.08359881727522	0.711279751613718	-1.97397906279608	1.71880826239543	-2.50973020456323	-3.04365993415312	-0.649655609705208	-2.76032248193342	-2.43002949486167	0.67812686692575	0.642133153367048	2.05393263540948	2.99017059866047	1.53791600445262	-0.689737387487738	3.2432748072057	-0.469356245467646	3.92805340352299	0.405589258009754	-0.824917865099851	-2.56606726049183	-2.00588619077232	-1.80043279608072	-4.03596190128757	3.36819643912387	2.08914075294134	-0.914501121549696	-0.979313885830671
"9"	-2.88503299717775	5.55401245714279	0.90227891536358	3.55207049493334	-3.07267886127409	-2.15351798485481	-0.263772316023579	0.715506431079379	5.36524923518353	2.68351499908295	-2.26988241425298	-2.7579165757886	-0.833355990329643	-1.97907708562914	-1.20043942103598	2.23808125439809	-3.2823528048757	3.20003973338261	-2.7311846463044	-0.906043163473806	-0.168109038820046	-0.952382981352919	3.90386302085776	0.852501033322235	-2.02679995324184	1.90729055665981	-2.20801731071435	-2.77061707670568	-0.501201515804305	-2.52882488192182	-2.30153123458359	0.800619961936553	0.465400921518128	1.79478955952191	2.56258538565852	1.81742525096541	-0.634077436678074	3.34220669731705	-0.536043569582497	3.31049394879018	0.169989562077099	-1.01571221155307	-2.71582066613543	-1.83216337370951	-1.95452782149707	-3.8833389385233	3.25298217989329	1.9797880727078	-1.0553316267609	-1.11007899554668
"10"	-3.12624555917061	5.29578404519326	1.1608309397547	3.49813082385028	-3.05944705069455	-2.01448851352612	-0.471158531405204	0.477313304719211	5.31244767027944	2.58875303609224	-1.99108480393716	-2.76828236922445	-0.856353812345781	-2.00892037409214	-1.00620967266643	1.94929680350831	-3.39387089345774	3.1380552325502	-2.87003181565642	-0.903715818743976	-0.129966325282889	-0.955983571250505	3.52053553590823	0.671077106691063	-1.95806291305308	1.92421422190917	-2.13541312282767	-2.66346869585217	-0.862125748827429	-2.4085387814498	-2.30221086742493	0.761959811443182	0.549408899934338	1.84295245615312	2.67974928412672	2.10881133942777	-0.467525444901047	3.17801118078815	-0.314986214438436	3.0014901644336	0.160181213230833	-1.04146323658883	-2.65905763064459	-2.00764249864159	-1.75009385695244	-3.7712426819231	3.15926043481665	1.72102110773145	-0.914706252442915	-1.1782731922836
