"pip.1"	"pip.2"
"1"	0.5	0
"2"	0.4	0
"3"	0.125	0.175
"4"	1	0.1
"5"	0.675	0.525
"6"	0.35	0.35
"7"	0.6	0
"8"	0.25	0.65
"9"	0.575	0
"10"	0.525	1
"11"	1	1
"12"	0	0.15
"13"	0.7	0
"14"	0.4	0.2
"15"	0.525	0
"16"	0.525	0.35
"17"	0.825	0.25
"18"	0.025	0.35
"19"	0	0.3
"20"	0.9	0.725
"21"	0.075	0.775
"22"	0.1	0.375
"23"	0	0
"24"	0.4	0.25
"25"	0.425	0.525
"26"	0.35	0
"27"	0.5	0.65
"28"	0.975	0.225
"29"	0	0.175
"30"	0.525	0.275
"31"	0.45	0
"32"	0.55	0.325
"33"	0.175	1
"34"	0.575	0
"35"	1	0.225
"36"	0	0
"37"	0.7	0.3
"38"	0.075	0.2
"39"	0	0
"40"	0.475	0.175
"41"	0.625	0.025
"42"	0.3	0.4
"43"	1	1
"44"	0.325	0.05
"45"	0.5	0.25
"46"	0.5	0.25
"47"	0.525	0.025
"48"	0.475	1
"49"	0.525	0.275
"50"	0.375	0.15
"51"	0.65	0.3
"52"	0.5	0.05
"53"	0.375	0.05
"54"	0.325	0.225
"55"	0.375	0
"56"	0.3	0
"57"	0.675	0.025
"58"	0.3	1
"59"	0.45	0.8
"60"	0.375	0.25
"61"	1	0.125
"62"	0.1	0.175
"63"	0.55	0.15
"64"	0.55	0
"65"	0.425	0.4
"66"	0.275	0.075
"67"	0.075	1
"68"	0.425	0.05
"69"	0.3	0.275
"70"	0.45	0.175
"71"	0.65	0.175
"72"	0.5	0.4
"73"	1	0.075
"74"	0.375	0.225
"75"	0.575	0.25
"76"	0.55	0
"77"	0	0
"78"	0.325	0
"79"	0	0.7
"80"	0.35	0.175
"81"	0	0
"82"	0.325	0.05
"83"	0.4	0.125
"84"	0.625	0.25
"85"	0.15	0
"86"	1	0.075
"87"	0.25	0.375
"88"	0.625	0.4
"89"	0.25	0
"90"	0	0
"91"	0.875	0.025
"92"	0.625	0
"93"	0.35	0.2
"94"	0.65	0
"95"	0.05	0.2
"96"	0.75	0.15
"97"	1	0.25
"98"	0.725	0.375
"99"	0.35	0.075
"100"	0.425	0.25
"101"	0.45	0.85
"102"	0	0
"103"	0.825	0.15
"104"	0.525	0.15
"105"	0.45	0
"106"	0.4	0.325
"107"	0.75	0
"108"	0.15	1
"109"	0.475	0.25
"110"	0.525	0
"111"	1	0.05
"112"	0.1	0.25
"113"	0.925	0.275
"114"	0.725	0.25
"115"	0.4	0.025
"116"	0.4	0.05
"117"	0	0.175
"118"	0.4	0.625
"119"	0.275	0.75
"120"	0.55	0
"121"	0.05	0.3
"122"	0.45	0.375
"123"	1	0.25
"124"	0.375	0.725
"125"	0.525	0.175
"126"	0.65	0
"127"	0.575	0.025
"128"	1	0.275
"129"	0.5	0.175
"130"	0.525	0
"131"	1	0.275
"132"	0.65	1
"133"	0.375	0
"134"	0.475	0.1
"135"	0.35	0.85
"136"	0.475	0.25
"137"	0.525	0.275
"138"	0.3	0.125
"139"	0.7	1
"140"	0.225	0.15
"141"	0.3	0.55
"142"	0.625	0.025
"143"	0.025	1
"144"	1	0.425
"145"	0.4	0.225
"146"	0.375	0.2
"147"	0.5	0.8
"148"	0.925	0.2
"149"	0.975	1
"150"	0.4	0.35
"151"	0.6	0.45
"152"	0.55	0.175
"153"	0.375	0.175
"154"	0.1	0
"155"	0.375	0.25
"156"	0.375	0.15
"157"	0.475	0.25
"158"	0.275	0.1
"159"	0.825	0.425
"160"	0.5	0
