"beta.1"	"beta.2"	"beta.3"	"beta.4"	"beta.5"	"beta.6"	"beta.7"	"beta.8"	"beta.9"	"beta.10"	"beta.11"	"beta.12"	"beta.13"	"beta.14"	"beta.15"	"beta.16"	"beta.17"	"beta.18"	"beta.19"	"beta.20"	"beta.21"	"beta.22"	"beta.23"	"beta.24"	"beta.25"	"beta.26"	"beta.27"	"beta.28"	"beta.29"	"beta.30"	"beta.31"	"beta.32"	"beta.33"	"beta.34"	"beta.35"	"beta.36"	"beta.37"	"beta.38"	"beta.39"	"beta.40"	"beta.41"	"beta.42"	"beta.43"	"beta.44"	"beta.45"	"beta.46"	"beta.47"	"beta.48"	"beta.49"	"beta.50"
"1"	-3.26233360705649	13.297992629225	12.724293214294	4.14641434456408	-15.3995004190371	-9.28567034713538	-2.9472044679056	-0.0576717274753696	24.0465338885795	7.6359346114046	-7.99009248989368	-11.4765700923635	-2.89461573688223	-2.99215117897316	-4.11510832795067	2.52223448156132	-8.91921127284569	4.35683299355719	-12.3753842192996	-2.24267885278309	3.77395645981701	1.33336360814841	8.04189509744908	-0.571067743838088	5.03607972233726	10.8576936214569	-6.9095383969683	-12.8459935387219	0.46726172188352	-2.35706556439501	-5.42888255010254	-4.33310317456782	-6.49471646796233	7.26750747385451	11.519117540872	9.92160365445798	-4.29513109491881	12.3830410085338	-2.79346281854269	17.5790308981071	5.60746090888056	-4.52783972553158	-8.32043296117832	-11.6657054708471	-10.655905803883	-15.63782051071	11.5653699715018	8.3204712857239	-2.27328691424755	2.66137361672105
"2"	-2.4705679544806	3.40318122817214	0.76688075851187	2.30237918307606	-1.24455766519482	-1.22858863057891	-0.644859768139204	0.464864507250931	3.16192381586537	2.31005732953292	-1.67040711269054	-1.89984389177265	-0.130957058369174	-1.52884673091497	-0.235361285409073	1.5719900212425	-1.5664321393692	1.89224717932947	-1.45372858915886	0.115514488528331	-0.549364405921766	-0.571261812260643	1.80323184921377	-0.0858458699590154	-1.03984719756572	1.40533600515834	-0.871385032011669	-2.11778164281399	-0.446602946637654	-2.08500301900392	-1.46806107886554	0.489466123670553	0.0429562393657995	1.18455878149045	1.53786092093661	1.58098277058506	-0.144899233378954	1.03128931747687	-0.00819975078079922	1.4837159560093	0.144881578295438	-0.680692100545678	-1.87339114808524	-0.851132242628326	-0.574642222941502	-2.22622359690968	1.98364972768793	0.0742828189151843	-0.235359927911025	-0.525816412630887
"3"	-2.23157332400882	3.4395247930637	0.478265953964367	2.23886260627072	-1.44788475555324	-1.07250403731499	-0.479573080257545	0.247182822935893	2.61414067451693	2.03956299572944	-1.22911490029706	-1.28069742430229	0.111099496716608	-1.43191199577512	-0.144163849888079	1.49120344028796	-1.73613919906701	1.99500195713273	-1.4312624610794	0.11318913687667	-0.286264787629173	-0.467112762018411	1.66266301934526	-0.0737057819288357	-1.10602024427165	1.46584837946028	-0.616626303500518	-2.39419061798823	-0.20887229343166	-1.84137665252898	-1.32929808746368	0.347293111828672	0.0954456187650248	0.996873947594924	1.61380106296692	1.59910188667375	0.171360846233732	0.901799478382698	0.135240029859489	1.64602455401486	0.222224184139739	-0.633759819605627	-1.68396243443364	-0.571762188357752	-0.48511263469551	-2.0306810334258	1.87880608091039	0.252117034395425	-0.221034835781613	-0.610210457119784
"4"	-2.19928667388813	3.2961698123294	0.575298344694936	2.08793961561051	-1.31650986502772	-1.23213395324635	-0.268277419208932	0.186197953022907	2.67570633505802	1.7090285647217	-1.19507931313836	-1.24437214171278	0.294288191728542	-1.38137302032199	0.0463051850448056	1.62455884553322	-1.5142534127794	2.04835354053392	-0.680723555375202	-0.120680618759966	-0.494517364159781	-0.392670339631432	1.53846247817752	0.33588313774512	-1.04327267080189	1.1682766049382	-0.827371258848631	-1.82009498960215	-0.107170061478418	-1.56410296245828	-1.29910777538567	0.307527931422759	0.270622347868299	0.82197914314706	1.45648686711284	1.45032182925451	-0.139270370064501	1.04216812984286	0.0660457723074765	1.43587949667092	0.115156502284428	-0.328720093211147	-1.75464859070986	-0.715308841135902	-0.54272509445736	-2.00055545502253	2.3297102888266	-0.0674519406619818	-0.473299325676823	-0.422769441237067
"5"	-2.10561170251172	3.57487344160143	0.6692224768616	2.35803068959209	-1.06334663747025	-1.36131737935793	-0.0729102686301016	0.00339739859196036	2.37635709574523	1.47813815933577	-1.06006986408229	-1.20692114240147	0.166888461230929	-1.55184535597163	0.0761641904277738	1.84844165883945	-1.69110818041668	2.53422739827429	-0.49208147947792	0.214283427458744	-0.258819604508588	-0.110868177565762	1.59885596354374	0.182373776620702	-1.13984891630212	1.02423715481962	-0.778066065088068	-1.74120967295974	0.0244217671373767	-1.5656652912266	-1.21989822111946	0.643434590071872	0.424839018928989	0.600545189370966	1.20624547820309	1.32909062711076	-0.339687484896649	1.16246052804401	-0.183032533873389	1.62370021857463	-0.161102088409468	-0.156925056532547	-1.58623085215544	-0.77895348853683	-0.686808262813802	-2.1363423624252	2.43844750843589	-0.17418058616018	-0.435350084657889	-0.295370587080221
"6"	-2.25249057117197	3.597051514035	1.10558738064983	2.40508126939639	-0.772969932238917	-1.28086407545781	-0.00169681908482534	0.117602255085321	2.32887093600119	1.84011205442546	-0.99486616828265	-1.44852431603714	0.0795407402997913	-1.7004036192402	0.152025369610099	1.68651436990885	-1.55422530840188	2.50152150113291	-0.5761449794937	0.294974215530987	-0.251388130268836	-0.232806776613383	1.28455436803185	0.00756105227440725	-1.18697387684418	1.18255516376961	-0.789141273065816	-1.63998749002991	0.0962830761990729	-1.49648860618371	-1.13340161577356	0.587755262511005	0.387924568897928	0.671395238540477	1.31175959622155	1.4097579207652	-0.291723069417101	0.966416838660249	-0.14716144883838	1.16493955731125	-0.338379419313562	-0.25128040097189	-1.69513153858919	-0.821138453011263	-0.677116789903021	-2.10601440886079	2.31997326456164	0.0141168822077328	-0.0463850233368751	-0.537960305889663
"7"	-2.39009720022762	3.33936148202278	1.16327452918814	2.43767279855939	-0.842488164609924	-0.972899460428973	-0.341330009251088	0.15813338195101	2.46489317710583	1.96815375336466	-0.837283244101073	-1.38046836673288	0.0866802529847001	-1.67160406880061	-0.0957582727222463	1.46893458332324	-1.45383360886699	2.54153165222213	-0.816360589292018	0.161745695862996	0.0677680634691427	-0.318243975195028	1.32792701140561	0.123480951483671	-1.09794469114751	1.65843883231905	-0.548264211909575	-1.68288264098197	0.256175070051616	-1.66280166768864	-1.11799711452539	0.465356270744972	0.47609816427159	0.6112582450734	1.56426355977672	1.66360813096417	-0.270408328838459	0.83498502654526	0.0491020874500475	1.16827067341818	0.0373350143820578	-0.201522431666218	-1.48768472482224	-0.862670307912256	-0.540072605651236	-2.14788721396208	2.43558768560956	0.0186665946209892	-0.0342367322604817	-0.592173499022188
"8"	-1.97226040924151	3.19100385189277	0.982187311239264	2.52869362802438	-0.756560983335365	-0.98421318030953	-0.288122154466583	0.0859782867298152	2.05896368693059	1.64941610908968	-0.648519392723511	-1.23012428962294	0.0295905559965337	-1.67159990329335	-0.0406404672778744	1.39372540427079	-1.23684382479302	2.66308978105437	-0.972051444025586	0.19784857073212	-0.0824055007108196	-0.268819733932592	1.40975489907187	0.038909794851356	-1.24527510127424	1.5838382450223	-0.471345635349918	-1.54777220885829	0.177906396300355	-1.50196865655579	-1.18576643831583	0.704959736974125	0.257725029712408	0.616677985185684	1.35323792527671	2.0125087915428	-0.371196009864163	0.631556696203977	-0.0184244849330992	1.07685175124351	0.320054451978027	0.0562181369350203	-1.72264918873794	-0.574150347416887	-0.256481815501213	-1.80750336353321	2.64683350436238	0.198957005847139	0.106875553797856	-0.65051050672084
"9"	-1.73273292636779	3.15941641966733	1.40176655241092	2.59572762642987	-1.19985979747815	-0.914613833532914	0.0174720382873836	0.121286869439709	1.96672675598204	1.48967766438936	-0.880658554702208	-0.943509050110057	0.162927983178529	-1.88458360455177	0.0574225991962153	1.17185793208692	-1.214311635262	2.88026906730362	-0.62230858494057	0.191062177127735	-0.262554625964142	-0.109934114428997	1.6287581425976	-0.0681781358175907	-1.30304900225057	1.60453725567401	-0.136399353489195	-1.15651823954751	0.268749943647061	-1.85820383957699	-1.0812657386475	1.13271666248335	0.713146489622173	1.07511007035674	1.05773714184816	1.22409940524324	-0.217070283989622	0.725626596259538	0.204771449312934	1.13272003109781	0.242300078333875	-0.0296494810000406	-1.38741640241607	-0.419730706576364	-0.242046863365809	-1.57604478555528	2.7176223897524	-0.0122570136431853	-0.225607770968029	-0.471719386170449
"10"	-1.84074988847177	3.16706112369886	1.95591341266603	2.69569928236056	-1.15732432087799	-1.08495232512349	0.191717004842202	-0.486116866823281	1.82612260251623	1.56112886375776	-0.951464518690789	-1.15721953780568	-0.228493191322297	-1.82962024144005	0.0116975697631315	1.14924874842304	-1.00727044540886	2.80449239391377	-0.592818621140892	0.293015587359073	-0.00645535736381984	0.217889941003587	1.68853651991983	-0.292710109893253	-1.03892682479202	1.58489674096724	-0.0874622378290235	-1.42584934906676	0.297236678398918	-1.93197406094705	-0.878792081557719	0.830524404700373	0.418935304447444	0.689003590110605	0.887397508793541	1.25433245371803	-0.312679583643796	0.773832016364111	0.199217868882388	1.20915522979614	0.160814566122268	-0.0288330534582281	-1.28657689980919	-0.525383008783428	-0.234832794075642	-1.52251819062459	2.56355146893827	-0.139201096938938	0.0503112711639367	-0.458002103218062
